uf,atividades,unidades,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
    Roraima,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",88,748,582,475.53,10993.853,1.781961,1778.39673627321
    Roraima,B Indústrias extrativas,12,,,,,,
    Roraima,C Indústrias de transformação,353,3151,2746,2567.46,43794.887,1.314758,1312.12850893041
    Roraima,D Eletricidade e gás,24,955,949,1084.1,87555.094,6.224983,6212.53318952978
    Roraima,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",16,644,628,586.83,32172.496,4.225699,4217.24755826284
    Roraima,F Construção,348,,,,,,
    Roraima,G Comércio; reparação de veículos automotores e motocicletas,3358,22836,19383,19021.22,363284.378,1.47209,1469.14615118516
    Roraima,"H Transporte, armazenagem e correio",221,1776,1563,1604.67,39029.827,1.874723,1870.97308768494
    Roraima,I Alojamento e alimentação,516,3561,3030,2927.56,50358.116,1.325836,1323.18423218285
    Roraima,J Informação e comunicação,131,970,863,875,25043.025,2.205997,2201.58461538462
    Roraima,"K Atividades financeiras, de seguros e serviços relacionados",98,854,804,791.59,63710.068,6.203458,6191.05150587863
    Roraima,L Atividades imobiliárias,89,,,,,,
    Roraima,"M Atividades profissionais, científicas e técnicas",398,1552,1071,1059.72,54276.839,3.947749,3939.85341556115
    Roraima,N Atividades administrativas e serviços complementares,337,6736,6363,6330.89,112757.478,1.372798,1370.05257615377
    Roraima,"O Administração pública, defesa e seguridade social",81,49429,49428,47749.2,2783931.578,4.49385,4484.86221597591
    Roraima,P Educação,267,5070,4887,5071.5,319921.948,4.86221,4852.48557929303
    Roraima,Q Saúde humana e serviços sociais,341,4471,3961,4030.46,95400.176,1.824403,1820.75372958002
    Roraima,"R Artes, cultura, esporte e recreação",90,478,390,381.34,8224.469,1.662347,1659.02203162129
    Roraima,S Outras atividades de serviços,389,1512,1235,1278.47,29745.998,1.793346,1789.75939389089
    Roraima,U Organismos internacionais e outras instituições extraterritoriais,2,,,,,,
    Pará,Total,81626,1188643,1097780,1112657.61,38382965.959,2.658907,2653.58886369366
    Pará,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",1064,23289,21872,21601,461269.418,1.645913,1642.62131026697
    Pará,B Indústrias extrativas,274,22641,22332,21176.79,1223823.031,4.454353,4445.4439579297
    Pará,C Indústrias de transformação,4901,84650,78794,81272.23,2076450.627,1.969271,1965.33270106766
    Pará,D Eletricidade e gás,266,3040,2984,3035.03,142939.14,3.630064,3622.80388053445
    Pará,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",280,7647,7374,7134.45,254813.297,2.752883,2747.37686102697
    Pará,F Construção,3662,63700,59070,60670.87,1627424.703,2.067506,2063.37103152443
    Pará,G Comércio; reparação de veículos automotores e motocicletas,37773,244773,203196,204290.86,4305479.783,1.624421,1621.172638553
    Pará,"H Transporte, armazenagem e correio",3190,44988,41308,44048.62,1310783.961,2.293638,2289.05095009874
    Pará,I Alojamento e alimentação,3455,28943,25026,25074.04,444944.438,1.367753,1365.01717436716
    Pará,J Informação e comunicação,1317,12923,11446,11665.58,391742.68,2.588336,2583.15937207514
    Pará,"K Atividades financeiras, de seguros e serviços relacionados",1348,18039,16937,16942.97,1063601.91,4.838555,4828.87779052088
    Pará,L Atividades imobiliárias,770,3900,2804,2741.66,69667.228,1.958579,1954.66160591085
    Pará,"M Atividades profissionais, científicas e técnicas",4063,20162,14866,15514.33,641868.87,3.188889,3182.51116622751
    Pará,N Atividades administrativas e serviços complementares,4789,86201,81071,78117.85,1716742.208,1.693873,1690.48550264859
    Pará,"O Administração pública, defesa e seguridade social",612,321226,321212,331549.82,14352543.513,3.336616,3329.94241617235
    Pará,P Educação,4350,104162,100208,101096.12,5378145.272,4.10038,4092.17962530647
    Pará,Q Saúde humana e serviços sociais,4130,74570,68322,67518.14,2459065.654,2.807216,2801.6011172929
    Pará,"R Artes, cultura, esporte e recreação",818,6009,5036,5203.78,132368.731,1.960616,1956.69495576736
    Pará,S Outras atividades de serviços,4561,17764,13908,13988.95,328402.821,1.809455,1805.83642528842
    Pará,U Organismos internacionais e outras instituições extraterritoriais,3,16,14,14.52,888.674,4.717392,4707.95719432083
    Amapá,Total,8333,139210,130757,131026.07,6217615.559,3.657567,3650.2515867497
    Amapá,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",41,681,622,638.53,15244.789,1.840205,1836.52463771957
    Amapá,B Indústrias extrativas,40,,,,,,
    Amapá,C Indústrias de transformação,391,3451,3028,3061.58,77996.574,1.963614,1959.68632586392
    Amapá,D Eletricidade e gás,27,798,788,805.19,63904.66,6.117307,6105.07219031915
    Amapá,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",22,904,879,655.43,28293.215,3.327224,3320.56993705835
    Amapá,F Construção,408,5561,5023,4966.76,120686.502,1.872887,1869.14146786297
    Amapá,G Comércio; reparação de veículos automotores e motocicletas,3878,28670,24817,24776.59,485447.981,1.510175,1507.15463203836
    Amapá,"H Transporte, armazenagem e correio",258,3785,3533,3708.64,91003.97,1.891349,1887.56670494181
    Amapá,I Alojamento e alimentação,465,3296,2810,2835.31,46211.363,1.256245,1253.73247749602
    Amapá,J Informação e comunicação,130,1318,1186,1282.94,35083.854,2.107789,2103.57304316648
    Amapá,"K Atividades financeiras, de seguros e serviços relacionados",133,1277,1185,1171.46,70234.189,4.62112,4611.8774205495
    Amapá,L Atividades imobiliárias,76,,,,,,
    Amapá,"M Atividades profissionais, científicas e técnicas",359,1764,1380,1442.8,60464.505,3.230134,3223.67325286302
    Amapá,N Atividades administrativas e serviços complementares,416,9487,9030,8841.93,174487.857,1.521053,1518.01053007136
    Amapá,"O Administração pública, defesa e seguridade social",90,58479,58479,58499.4,4376850.585,5.76682,5755.2866222691
    Amapá,P Educação,591,8142,7560,8093.08,305363.512,2.908234,2902.41798216216
    Amapá,Q Saúde humana e serviços sociais,469,8862,8202,8101.57,223235.1,2.123828,2119.58062069831
    Amapá,"R Artes, cultura, esporte e recreação",90,402,321,324.41,4931.586,1.171706,1169.36213196501
    Amapá,S Outras atividades de serviços,449,1842,1558,1479.66,30591.645,1.593555,1590.36769361776
    Amapá,U Organismos internacionais e outras instituições extraterritoriais,-,-,-,-,-,-,-
    Tocantins,Total,30609,294897,263078,272166.3,10120086.559,2.865999,2860.26667095138
    Tocantins,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",778,7139,6269,6055.1,154106.959,1.961675,1957.75155844469
    Tocantins,B Indústrias extrativas,138,1033,875,895.17,27417.571,2.360748,2356.02614372345
    Tocantins,C Indústrias de transformação,1496,17288,15653,15132.69,400941.459,2.042166,2038.08118003525
    Tocantins,D Eletricidade e gás,159,1890,1856,1834.78,77850.127,3.270404,3263.86341015942
    Tocantins,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",104,1930,1840,2182.22,71533.057,2.526588,2521.53442189781
    Tocantins,F Construção,1371,9323,7383,8705.92,205445.918,1.818901,1815.26273545428
    Tocantins,G Comércio; reparação de veículos automotores e motocicletas,12995,63648,49410,50126.84,1096406.909,1.685883,1682.51166440973
    Tocantins,"H Transporte, armazenagem e correio",1372,9794,8591,8877.04,235821.364,2.047581,2043.48577037807
    Tocantins,I Alojamento e alimentação,1393,9051,7477,7265.02,111529.745,1.18326,1180.89298499469
    Tocantins,J Informação e comunicação,506,2734,2203,2126.78,61583.757,2.231874,2227.41048764944
    Tocantins,"K Atividades financeiras, de seguros e serviços relacionados",578,3644,3172,3092.26,201391.398,5.019853,5009.8135344376
    Tocantins,L Atividades imobiliárias,533,1448,625,643.56,14232.626,1.704598,1701.18929799146
    Tocantins,"M Atividades profissionais, científicas e técnicas",2103,6524,4005,4265.25,120726.396,2.181644,2177.28054537339
    Tocantins,N Atividades administrativas e serviços complementares,1585,14142,12570,12828.53,243500.277,1.463015,1460.0886101885
    Tocantins,"O Administração pública, defesa e seguridade social",635,84202,84202,86697.14,4295313.356,3.818706,3811.06827390509
    Tocantins,P Educação,1311,29886,29041,33832.8,1584067.975,3.608793,3601.57547386878
    Tocantins,Q Saúde humana e serviços sociais,1641,26173,24089,23635.09,1132992.24,3.694841,3687.45154897947
    Tocantins,"R Artes, cultura, esporte e recreação",311,786,459,475.52,8886.069,1.440347,1437.46586732581
    Tocantins,S Outras atividades de serviços,1600,4262,3358,3494.59,76339.356,1.683753,1680.38543973575
    Tocantins,U Organismos internacionais e outras instituições extraterritoriais,-,-,-,-,-,-,-
  Nordeste,Total,863313,9600494,8599924,8698337.38,271347114.352,2.404446,2399.63731438454
  Nordeste,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",8189,138485,127369,124524.86,2423304.444,1.499954,1496.95437645018
  Nordeste,B Indústrias extrativas,2526,37257,34467,35776.49,2356249.824,5.076328,5066.17576127615
  Nordeste,C Indústrias de transformação,55061,961762,895393,898048.92,23232726.158,1.994005,1990.01718234305
  Nordeste,D Eletricidade e gás,1993,,,,,,
  Nordeste,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",3047,83179,80648,77834.19,3084449.539,3.054452,3048.34352556179
  Nordeste,F Construção,39903,428668,368749,380712.16,9106192.114,1.843598,1839.9105415008
  Nordeste,G Comércio; reparação de veículos automotores e motocicletas,366040,1961718,1561854,1595617.34,30969297.246,1.49599,1492.99808581153
  Nordeste,"H Transporte, armazenagem e correio",28397,334110,305309,317621.47,9308423.967,2.258876,2254.35834940929
  Nordeste,I Alojamento e alimentação,45619,376781,323252,326680.78,5514387.185,1.301067,1298.46521615194
