mun_capital,atividades,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Goiânia - GO,C Indústrias de transformação,5279,44598,38351,39046.42,1031140.023,2.03546,2031.38887784571
Goiânia - GO,D Eletricidade e gás,48,1023,974,966.26,125285.58,9.993858,9973.87070528875
Goiânia - GO,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",144,12667,12479,12757.67,799795.623,4.832076,4822.41194753973
Goiânia - GO,F Construção,4138,37240,30916,31542.61,844505.395,2.063626,2059.49835671615
Goiânia - GO,G Comércio; reparação de veículos automotores e motocicletas,24495,133408,105712,108330.92,2757093.109,1.961666,1957.74286148121
Goiânia - GO,"H Transporte, armazenagem e correio",1931,24707,22810,23773.88,716322.569,2.322387,2317.74266871554
Goiânia - GO,I Alojamento e alimentação,3546,26104,22092,22823.97,464636.042,1.56909,1565.95167273704
Goiânia - GO,J Informação e comunicação,1733,12719,10492,10562.65,428348.103,3.12572,3119.46851187184
Goiânia - GO,"K Atividades financeiras, de seguros e serviços relacionados",3024,15927,11663,11687.56,778047.561,5.131075,5120.81327365296
Goiânia - GO,L Atividades imobiliárias,2018,6073,2686,2614.97,70787.553,2.08649,2082.31696142418
Goiânia - GO,"M Atividades profissionais, científicas e técnicas",5807,21050,13482,13397.53,446265.581,2.567407,2562.27242001956
Goiânia - GO,N Atividades administrativas e serviços complementares,7465,73683,66988,66360.24,1471457.408,1.709094,1705.67543734946
Goiânia - GO,"O Administração pública, defesa e seguridade social",137,73297,73296,72616.37,7917559.691,8.40394,8387.13162271601
Goiânia - GO,P Educação,2106,95612,93427,93673.22,4251132.005,3.497963,3490.96736752264
Goiânia - GO,Q Saúde humana e serviços sociais,3196,59619,54346,54196.95,2300252.182,3.271348,3264.80504047666
Goiânia - GO,"R Artes, cultura, esporte e recreação",830,4312,3349,3330.18,126795.963,2.934701,2928.83135908108
Goiânia - GO,S Outras atividades de serviços,2852,16702,14291,14415.59,582632.056,3.115215,3108.98481862612
Goiânia - GO,U Organismos internacionais e outras instituições extraterritoriais,,,,,,,
Brasília - DF,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",263,1809,1496,1617.83,54097.528,2.577334,2572.17897287868
Brasília - DF,B Indústrias extrativas,59,,,,,,
Brasília - DF,C Indústrias de transformação,3388,30429,26393,26640.96,772075.372,2.233757,2229.28953126198
Brasília - DF,D Eletricidade e gás,78,2838,2783,2800.49,1211973.871,33.356873,33290.1596890874
Brasília - DF,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",172,6982,6770,7752.07,509973.519,5.070561,5060.42027881188
Brasília - DF,F Construção,5402,54345,47490,47432.38,1486239.777,2.415128,2410.29728409807
Brasília - DF,G Comércio; reparação de veículos automotores e motocicletas,30969,198514,162927,164705.8,3948274.511,1.847671,1843.97528152061
Brasília - DF,"H Transporte, armazenagem e correio",2487,49713,47232,51036.85,2248458.577,3.395683,3388.8915965018
Brasília - DF,I Alojamento e alimentação,7298,63163,54472,55416.92,1026349.711,1.42751,1424.65474027122
Brasília - DF,J Informação e comunicação,3835,40882,36143,37676.06,2600729.986,5.320542,5309.90110880041
Brasília - DF,"K Atividades financeiras, de seguros e serviços relacionados",3027,57792,54767,54904.89,6440385.941,9.041219,9023.13624804359
Brasília - DF,L Atividades imobiliárias,2493,8490,5032,5212.61,275488.194,4.073558,4065.4105214972
Brasília - DF,"M Atividades profissionais, científicas e técnicas",9232,40775,28472,28054.75,1795737.876,4.933585,4923.71818566306
Brasília - DF,N Atividades administrativas e serviços complementares,11624,152722,141378,145375.53,3689449.461,1.956124,1952.21165963975
Brasília - DF,"O Administração pública, defesa e seguridade social",311,429898,429893,430976.14,47566485.061,8.506951,8489.93726034971
Brasília - DF,P Educação,3830,96338,92056,101918.87,7211967.349,5.454127,5443.21889708791
Brasília - DF,Q Saúde humana e serviços sociais,8288,113356,100993,97834.05,5868542.178,4.623451,4614.2045779012
Brasília - DF,"R Artes, cultura, esporte e recreação",1468,11895,10216,9988.34,268742.838,2.073813,2069.6658303582
Brasília - DF,S Outras atividades de serviços,6670,30833,25030,25195.52,1250122.052,3.824329,3816.6799006026
Brasília - DF,U Organismos internacionais e outras instituições extraterritoriais,126,,,,,,
