mun_capital,atividades,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Belém - PA,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",80,887,768,872.93,21797.018,1.924615,1920.76534465271
Belém - PA,B Indústrias extrativas,13,67,58,59.98,8666.693,11.137124,11114.8498217354
Belém - PA,C Indústrias de transformação,855,10826,9785,10141.85,281053.98,2.135987,2131.71531062646
Belém - PA,D Eletricidade e gás,23,1307,1296,1362.74,60852.801,3.441864,3434.98003456836
Belém - PA,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",30,3127,3082,2983.74,139103.62,3.593383,3586.19667314795
Belém - PA,F Construção,1055,21093,19543,21044.85,476338.036,1.744599,1741.10945835277
Belém - PA,G Comércio; reparação de veículos automotores e motocicletas,7977,72672,63751,65345.7,1353623.639,1.59664,1593.44678085463
Belém - PA,"H Transporte, armazenagem e correio",642,15503,14610,15580.43,473908.507,2.344451,2339.76215922549
Belém - PA,I Alojamento e alimentação,1217,13295,11906,11848.79,217527.999,1.415035,1412.20521251537
Belém - PA,J Informação e comunicação,485,7520,6970,7432.95,294111.667,3.049841,3043.74096215034
Belém - PA,"K Atividades financeiras, de seguros e serviços relacionados",568,10750,10152,10210.99,677252.951,5.112216,5101.99117285923
Belém - PA,L Atividades imobiliárias,273,1979,1549,1562.69,45826.345,2.260313,2255.79191108823
Belém - PA,"M Atividades profissionais, científicas e técnicas",1651,8804,6450,6986.91,339643.188,3.746829,3739.33528225254
Belém - PA,N Atividades administrativas e serviços complementares,2163,53400,51231,49761.4,1088597.765,1.686168,1682.79609527434
Belém - PA,"O Administração pública, defesa e seguridade social",145,82976,82973,82890.86,6952815.644,6.465173,6452.24301708759
Belém - PA,P Educação,785,74324,73307,73130.77,4480753.319,4.722555,4713.10957386021
Belém - PA,Q Saúde humana e serviços sociais,1721,40408,37415,37046.62,1671217.595,3.477047,3470.09253787214
Belém - PA,"R Artes, cultura, esporte e recreação",292,3906,3569,3702.56,106543.509,2.217946,2213.51025735209
Belém - PA,S Outras atividades de serviços,1408,9781,8579,8642.04,217195.16,1.937135,1933.26112815955
Belém - PA,U Organismos internacionais e outras instituições extraterritoriais,3,16,14,14.52,888.674,4.717392,4707.95719432083
Macapá - AP,"A Agricultura, pecuária, produção florestal, pesca e aquicultura",20,247,225,181.75,3486.16,1.478424,1475.46714633372
Macapá - AP,B Indústrias extrativas,13,,,,,,
Macapá - AP,C Indústrias de transformação,259,1544,1270,1334.39,21602.429,1.247803,1245.30707491236
Macapá - AP,D Eletricidade e gás,12,676,672,669.59,57729.429,6.645297,6632.00661254246
Macapá - AP,"E Água, esgoto, atividades de gestão de resíduos e descontaminação",17,889,870,645.92,28172.456,3.361802,3355.07802823879
Macapá - AP,F Construção,302,4298,3898,3863.68,75819.4,1.512535,1509.50946725959
Macapá - AP,G Comércio; reparação de veículos automotores e motocicletas,2841,23330,20471,20461.39,408918.253,1.540379,1537.2978194917
Macapá - AP,"H Transporte, armazenagem e correio",160,2434,2286,2385.07,57896.23,1.871006,1867.26433766982
