atividades,faixa,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
N Atividades administrativas e serviços complementares,20 a 29,8001,190955,181035,179063.03,4744396.094,2.042213,2038.12895209194
N Atividades administrativas e serviços complementares,30 a 49,6909,262327,255354,251773.69,6759039.081,2.069192,2065.05327524034
N Atividades administrativas e serviços complementares,50 a 99,5671,391245,385776,379170.37,10105584.977,2.054249,2050.14091828552
N Atividades administrativas e serviços complementares,100 a 249,3098,467875,465095,449031.97,12966705.542,2.225761,2221.30929306916
N Atividades administrativas e serviços complementares,250 a 499,1186,412928,411924,404790.42,12175126.417,2.318299,2313.66193380534
N Atividades administrativas e serviços complementares,500 ou mais,1289,1940699,1939735,1885580.23,44266108.25,1.809474,1805.85540504951
"O Administração pública, defesa e seguridade social",0 a 4,7513,6284,6121,16407.85,1038098.751,4.876555,4866.80156613591
"O Administração pública, defesa e seguridade social",5 a 9,2430,15912,15892,16433.07,637153.135,2.988486,2982.5090269429
"O Administração pública, defesa e seguridade social",10 a 19,1547,21108,21071,21297.28,900469.429,3.258899,3252.38148504627
"O Administração pública, defesa e seguridade social",20 a 29,721,17411,17405,17707.29,841994.369,3.665078,3657.74760651599
"O Administração pública, defesa e seguridade social",30 a 49,869,33278,33274,33605.65,1500040.376,3.440462,3433.58099696834
"O Administração pública, defesa e seguridade social",50 a 99,1211,86233,86232,86527.68,4323734.041,3.851501,3843.79803353989
"O Administração pública, defesa e seguridade social",100 a 249,2405,420826,420812,431519.64,19617800.051,3.504095,3497.08658077444
"O Administração pública, defesa e seguridade social",250 a 499,2278,800716,800711,830134.49,35154486.997,3.264062,3257.5339779721
"O Administração pública, defesa e seguridade social",500 ou mais,3084,6267802,6267802,6383273.26,385162818.793,4.650793,4641.49158764403
P Educação,0 a 4,144146,151868,40894,58537.63,1106274.941,1.456646,1453.73279349737
P Educação,5 a 9,23348,155901,116631,120586.32,2272887.283,1.4528,1449.89484136917
P Educação,10 a 19,18382,249678,218855,223453.71,4614307.547,1.591641,1588.45755742706
P Educação,20 a 29,7821,187342,177287,179326.23,4123603.409,1.77239,1768.84475980323
P Educação,30 a 49,7142,269928,260295,262903.7,6761831.179,1.982411,1978.44632815391
P Educação,50 a 99,4848,328017,322175,327422.7,10500173.507,2.471803,2466.85906134369
P Educação,100 a 249,2070,314282,312763,320370.12,14727392.434,3.543235,3536.14856802789
P Educação,250 a 499,557,187371,187018,194415.77,10718050.878,4.249232,4240.7334145468
P Educação,500 ou mais,445,1621702,1621548,1693510.01,109330587.197,4.975996,4966.04396746376
Q Saúde humana e serviços sociais,0 a 4,234836,411270,110481,120940.97,2342135.506,1.492673,1489.687652516
Q Saúde humana e serviços sociais,5 a 9,37616,239889,147371,145965.19,3000955.865,1.584661,1581.491853271
Q Saúde humana e serviços sociais,10 a 19,17615,228399,172510,171061.34,3979557.56,1.793119,1789.53241163487
Q Saúde humana e serviços sociais,20 a 29,4777,113792,104739,104900.54,2687321.494,1.974549,1970.60032293447
Q Saúde humana e serviços sociais,30 a 49,3798,143588,137395,138148.95,3831624.87,2.137773,2133.49703067149
Q Saúde humana e serviços sociais,50 a 99,2855,197093,192904,194346.72,5629055.766,2.232464,2227.998958214
Q Saúde humana e serviços sociais,100 a 249,1992,309487,307413,307354.09,9402275.35,2.357871,2353.15544361228
Q Saúde humana e serviços sociais,250 a 499,930,331103,330370,324357.89,10826326.528,2.572662,2567.51685093183
Q Saúde humana e serviços sociais,500 ou mais,994,1563611,1563125,1544464.37,73633118.652,3.674696,3667.34653137634
"R Artes, cultura, esporte e recreação",0 a 4,61317,92167,27053,31987.68,565382.943,1.362342,1359.61706555101
"R Artes, cultura, esporte e recreação",5 a 9,8381,54255,40668,40117.61,742379.383,1.42632,1423.46730985758
"R Artes, cultura, esporte e recreação",10 a 19,4729,63124,54803,54450.21,1163251.706,1.646646,1643.35271547233
"R Artes, cultura, esporte e recreação",20 a 29,1271,29941,28564,27828.18,647733.789,1.794064,1790.47555668114
