mun_capital,cnae,atividades,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Manaus - AM,C,Indústrias de transformação,1731,89213,87296,88443.83,3508092.084,3.05724,3051.12563794184
Manaus - AM,10,Fabricação de produtos alimentícios,219,3071,2827,2910.98,60842.542,1.610995,1607.77316864477
Manaus - AM,11,Fabricação de bebidas,29,2901,2885,3084.87,118589.071,2.963015,2957.0893524749
Manaus - AM,12,Fabricação de produtos do fumo,,,,,,,
Manaus - AM,13,Fabricação de produtos têxteis,11,717,709,811.21,13258.268,1.259736,1257.21671235657
Manaus - AM,14,Confecção de artigos do vestuário e acessórios,64,800,714,768.45,11424.187,1.145871,1143.57943312462
Manaus - AM,15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",8,,,,,,
Manaus - AM,16,Fabricação de produtos de madeira,20,125,96,103.61,2522.112,1.876242,1872.48929046053
Manaus - AM,17,"Fabricação de celulose, papel e produtos de papel",53,,,,,,
Manaus - AM,18,Impressão e reprodução de gravações,138,1230,1069,1097.89,32735.469,2.29819,2293.59316507118
Manaus - AM,19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",6,312,312,340.21,97171.44,22.014948,21970.9184146444
Manaus - AM,20,Fabricação de produtos químicos,69,2707,2632,2750.07,178558.027,5.004512,4994.50299307067
Manaus - AM,21,Fabricação de produtos farmoquímicos e farmacêuticos,7,,,,,,
Manaus - AM,22,Fabricação de produtos de borracha e de material plástico,170,8157,8000,8228.87,259829.724,2.433743,2428.87563494791
Manaus - AM,23,Fabricação de produtos de minerais não-metálicos,49,788,721,774.47,23950.37,2.383602,2378.83475647366
Manaus - AM,24,Metalurgia,22,,,,,,
Manaus - AM,25,"Fabricação de produtos de metal, exceto máquinas e equipamentos",145,4070,3859,3934.12,150161.108,2.941955,2936.07069981049
Manaus - AM,26,"Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",145,24098,23991,25285.87,907744.932,2.767018,2761.48430846039
Manaus - AM,27,"Fabricação de máquinas, aparelhos e materiais elétricos",40,8229,8191,7862.17,233934.985,2.293395,2288.80815934454
Manaus - AM,28,Fabricação de máquinas e equipamentos,34,3600,3571,3561.94,124442.571,2.692827,2687.44152387139
Manaus - AM,29,"Fabricação de veículos automotores, reboques e carrocerias",38,,,,,,
Manaus - AM,30,"Fabricação de outros equipamentos de transporte, exceto veículos automotores",69,13247,13175,12907.59,785360.38,4.689753,4680.3730923493
Manaus - AM,31,Fabricação de móveis,30,876,834,805.2,15368.212,1.471112,1468.16958997287
Manaus - AM,32,Fabricação de produtos diversos,58,3459,3395,3327.92,152302.321,3.527441,3520.38605310409
Manaus - AM,33,"Manutenção, reparação e instalação de máquinas e equipamentos",307,2133,1770,1630.7,51054.054,2.413139,2408.31233401418
Manaus - AM,D,Eletricidade e gás,52,2015,2000,2157.66,258479.125,9.233547,9215.08004754438
