cnae,atividades,faixa,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
C,Indústrias de transformação,20 a 29,18481,439813,412138,421125.31,10903589.448,1.995649,1991.65813578422
C,Indústrias de transformação,30 a 49,14030,532204,515153,524012.21,14689307.847,2.160658,2156.33669578336
C,Indústrias de transformação,50 a 99,10697,741241,728747,740761.33,24575806.83,2.557146,2552.0320819538
C,Indústrias de transformação,100 a 249,6304,976183,969503,1005753.68,39945645.44,3.061286,3055.16352366026
C,Indústrias de transformação,250 a 499,2341,815729,813629,844537.94,37938884.239,3.462514,3455.58863902823
C,Indústrias de transformação,500 ou mais,1809,2160927,2159619,2225968.34,109123390.317,3.778548,3770.99116668548
10,Fabricação de produtos alimentícios,0 a 4,31318,60041,24801,33799.22,613877.544,1.399913,1397.11358837457
10,Fabricação de produtos alimentícios,5 a 9,12021,79738,62044,64041.92,1167282.436,1.404875,1402.06534431486
10,Fabricação de produtos alimentícios,10 a 19,8122,109000,95352,97395.15,1932065.14,1.529011,1525.95273362806
10,Fabricação de produtos alimentícios,20 a 29,2821,67133,62915,64249.02,1405827.225,1.68652,1683.14716347784
10,Fabricação de produtos alimentícios,30 a 49,2255,85501,82850,85358.19,2055005.344,1.855641,1851.92931286202
10,Fabricação de produtos alimentícios,50 a 99,1694,118567,116647,118898.81,3376077.724,2.188573,2184.19584234307
10,Fabricação de produtos alimentícios,100 a 249,1173,182504,181283,185214.19,6190817.005,2.57632,2571.16742886875
10,Fabricação de produtos alimentícios,250 a 499,476,166613,166186,170453.77,6152082.706,2.781901,2776.33713370358
10,Fabricação de produtos alimentícios,500 ou mais,552,727657,727300,731911.16,22891131.28,2.410655,2405.83331494452
11,Fabricação de bebidas,0 a 4,3622,6211,1429,1791.5,50388.699,2.167916,2163.58011120891
11,Fabricação de bebidas,5 a 9,777,5121,3524,3496.17,73200.212,1.613786,1610.55827904866
11,Fabricação de bebidas,10 a 19,577,7815,6677,6542.81,150432.137,1.772158,1768.61361496877
11,Fabricação de bebidas,20 a 29,218,5168,4834,4831.76,108062.6,1.723837,1720.38919406338
11,Fabricação de bebidas,30 a 49,177,6715,6488,6347.48,161323.568,1.958947,1955.02864613504
11,Fabricação de bebidas,50 a 99,175,11786,11566,11724.26,380738.581,2.503039,2498.03255419499
11,Fabricação de bebidas,100 a 249,108,16632,16540,16945.8,567061.15,2.579253,2574.09437509816
11,Fabricação de bebidas,250 a 499,63,22616,22560,23030.86,993018.187,3.323328,3316.68093960084
11,Fabricação de bebidas,500 ou mais,56,47919,47904,49448.07,2795330.5,4.357224,4348.50992317644
12,Fabricação de produtos do fumo,0 a 4,177,253,107,118.21,2525.082,1.646446,1643.1526683282
12,Fabricação de produtos do fumo,5 a 9,33,216,187,187.55,7620.37,3.131736,3125.47218177717
12,Fabricação de produtos do fumo,10 a 19,34,457,413,423.88,9902.873,1.800713,1797.11111998316
12,Fabricação de produtos do fumo,20 a 29,9,205,195,495.97,13963.861,2.170082,2165.74218974162
12,Fabricação de produtos do fumo,30 a 49,8,297,282,313.9,9377.025,2.302501,2297.89619428039
12,Fabricação de produtos do fumo,50 a 99,17,1202,1191,1574.72,66730.204,3.266218,3259.68592218592
12,Fabricação de produtos do fumo,100 a 249,12,1754,1745,3274.77,148980.289,3.506502,3499.4891948959
12,Fabricação de produtos do fumo,250 a 499,8,2885,2881,6098.35,357676.599,4.520685,4511.64405756664
12,Fabricação de produtos do fumo,500 ou mais,3,2465,2465,3939.68,208013.586,4.069648,4061.50882227061
13,Fabricação de produtos têxteis,0 a 4,6139,11798,4628,6288.27,117152.695,1.435976,1433.10413980805
13,Fabricação de produtos têxteis,5 a 9,2137,14187,10977,11490.23,227058.198,1.523122,1520.07533624386
13,Fabricação de produtos têxteis,10 a 19,1513,20608,18189,18903.42,423031.774,1.724879,1721.42954514621
13,Fabricação de produtos têxteis,20 a 29,573,13561,12685,13222.3,303193.557,1.767417,1763.88232816471
13,Fabricação de produtos têxteis,30 a 49,482,18461,17904,18332.73,458332.14,1.926989,1923.1352047152
13,Fabricação de produtos têxteis,50 a 99,461,32191,31586,32542.01,904487.205,2.142319,2138.03446210464
13,Fabricação de produtos têxteis,100 a 249,288,45883,45540,47269.84,1387266.33,2.262048,2257.52392255579
13,Fabricação de produtos têxteis,250 a 499,109,38224,38091,40192.84,1265098.4,2.426061,2421.20889040092
13,Fabricação de produtos têxteis,500 ou mais,71,63057,62951,68131.61,1905000.474,2.155125,2150.81513558831
14,Confecção de artigos do vestuário e acessórios,0 a 4,33131,63750,24854,34732.89,600136.544,1.331788,1329.12491700119
14,Confecção de artigos do vestuário e acessórios,5 a 9,10138,66918,52388,54383.49,971008.719,1.376202,1373.44952272492
14,Confecção de artigos do vestuário e acessórios,10 a 19,7133,96228,85979,87998.23,1621645.238,1.420391,1417.55057328557
14,Confecção de artigos do vestuário e acessórios,20 a 29,2558,61376,57909,59791.32,1109608.12,1.4304,1427.53949518477
14,Confecção de artigos do vestuário e acessórios,30 a 49,1851,69965,67991,68768.73,1296493.998,1.453134,1450.2275603819
14,Confecção de artigos do vestuário e acessórios,50 a 99,1216,82936,81716,82356.59,1586082.526,1.484409,1481.44001777934
14,Confecção de artigos do vestuário e acessórios,100 a 249,460,67829,67345,70178.14,1551240.221,1.70374,1700.33248025886
14,Confecção de artigos do vestuário e acessórios,250 a 499,96,31208,31122,31950.89,750561.192,1.810628,1807.00682540274
14,Confecção de artigos do vestuário e acessórios,500 ou mais,54,61691,61645,63877.48,1592879.409,1.922035,1918.19065667106
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",0 a 4,6463,12260,4517,8798.42,151947.568,1.331114,1328.4515244258
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",5 a 9,1912,12519,9774,11655.81,216658.411,1.432713,1429.84757090109
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",10 a 19,1432,19714,17617,19562.29,368600.689,1.452321,1449.4161549515
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",20 a 29,658,15761,14855,15743.5,311349.164,1.524307,1521.25865864056
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",30 a 49,594,22460,21781,22778.76,450597.208,1.5247,1521.65103334456
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",50 a 99,493,34070,33473,34940.98,717245.428,1.582191,1579.02626745928
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",100 a 249,336,53187,52830,55355.78,1230696.463,1.713618,1710.19103501581
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",250 a 499,108,37662,37578,39157.52,864637.348,1.701943,1698.53875400611
15,"Preparação de couros e fabricação de artefatos de couro, artigos para viagem e calçados",500 ou mais,90,125048,124994,129790.05,2778587.563,1.650094,1646.79422533664
16,Fabricação de produtos de madeira,0 a 4,8974,17437,6543,8696.78,158320.991,1.403157,1400.35021803826
16,Fabricação de produtos de madeira,5 a 9,3204,21164,16129,16848.08,323535.187,1.480121,1477.16072554992
16,Fabricação de produtos de madeira,10 a 19,2399,32484,28638,29085.39,607548.685,1.610024,1606.80376748495
16,Fabricação de produtos de madeira,20 a 29,781,18435,17267,17921.47,382456.037,1.644879,1641.58939829412
16,Fabricação de produtos de madeira,30 a 49,512,19329,18706,19617.93,424903.661,1.669411,1666.07266923676
16,Fabricação de produtos de madeira,50 a 99,288,19736,19426,20351.07,476297.118,1.803918,1800.31024639755
16,Fabricação de produtos de madeira,100 a 249,136,19851,19680,20463.28,520795.116,1.961633,1957.70974981678
16,Fabricação de produtos de madeira,250 a 499,45,15887,15861,16494.4,563365.369,2.632569,2627.30366763172
16,Fabricação de produtos de madeira,500 ou mais,22,15811,15791,16757.95,602441.396,2.770895,2765.35291286547
17,"Fabricação de celulose, papel e produtos de papel",0 a 4,2314,4307,1629,2540.87,238212.749,7.226178,7211.72575353506
17,"Fabricação de celulose, papel e produtos de papel",5 a 9,932,6243,4823,4917.66,109975.843,1.723713,1720.26537637194
17,"Fabricação de celulose, papel e produtos de papel",10 a 19,863,11888,10561,10628.09,272214.986,1.974163,1970.21424429905
17,"Fabricação de celulose, papel e produtos de papel",20 a 29,342,8215,7731,7740.24,211783.918,2.108942,2104.72422242522
17,"Fabricação de celulose, papel e produtos de papel",30 a 49,281,10738,10384,10419.93,302060.151,2.234368,2229.8994552525
17,"Fabricação de celulose, papel e produtos de papel",50 a 99,265,18142,17841,17773.46,618925.32,2.684061,2678.69283752291
17,"Fabricação de celulose, papel e produtos de papel",100 a 249,201,32037,31848,32962.32,1358349.636,3.176288,3169.93565800167
17,"Fabricação de celulose, papel e produtos de papel",250 a 499,97,33707,33610,33678.2,1635029.965,3.741993,3734.50884457099
17,"Fabricação de celulose, papel e produtos de papel",500 ou mais,63,56297,56272,57639.73,3989928.44,5.335428,5324.7572864705
18,Impressão e reprodução de gravações,0 a 4,13642,25890,8539,10182.42,206898.271,1.566145,1563.01268415412
18,Impressão e reprodução de gravações,5 a 9,3356,21839,16429,16507.88,368887.658,1.72238,1718.93505963865
18,Impressão e reprodução de gravações,10 a 19,1613,21445,18806,18933.45,485073.265,1.974712,1970.7622264787
18,Impressão e reprodução de gravações,20 a 29,355,8368,7855,7839.01,215313.453,2.117074,2112.83992592079
18,Impressão e reprodução de gravações,30 a 49,224,8321,8054,7881.23,231213.388,2.261232,2256.70932465735
18,Impressão e reprodução de gravações,50 a 99,156,10992,10821,10625.39,337544.089,2.448566,2443.66841340195
18,Impressão e reprodução de gravações,100 a 249,65,10370,10297,10550.72,396121.346,2.893825,2888.03728742975
18,Impressão e reprodução de gravações,250 a 499,23,7713,7696,7941.05,321884.802,3.124271,3118.02209841462
18,Impressão e reprodução de gravações,500 ou mais,9,7635,7631,8360.85,530887.465,4.89416,4884.37148228856
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",0 a 4,403,517,248,1092.43,43300.343,3.055089,3048.97852986884
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",5 a 9,56,380,296,340.2,22585.009,5.116961,5106.72658617103
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",10 a 19,60,823,729,738.43,45153.184,4.713084,4703.65755204129
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",20 a 29,27,657,640,778.84,40289.922,3.987258,3979.28299680393
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",30 a 49,31,1223,1202,1303.39,61092.554,3.612767,3605.54187984351
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",50 a 99,70,4948,4889,5081.53,352958.258,5.353711,5343.00402256195
