ufs,cidades,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal,numero_empresas
Santa Catarina,Ponte Alta do Norte - SC,110.0,944.0,846.0,883.05,20261.319,1.768514,1764.97706811619,106.0
Santa Catarina,Ponte Serrada - SC,425.0,2098.0,1685.0,1829.4,45702.979,1.925582,1921.73049591711,419.0
Santa Catarina,Porto Belo - SC,1058.0,7354.0,6148.0,6053.39,166866.579,2.124696,2120.44667406324,1043.0
Santa Catarina,Porto União - SC,1087.0,7735.0,6450.0,6468.5,165924.913,1.977125,1973.17072677651,1055.0
Santa Catarina,Pouso Redondo - SC,660.0,5374.0,4627.0,4796.38,132532.409,2.129779,2125.51980708528,645.0
Santa Catarina,Praia Grande - SC,255.0,1782.0,1449.0,1476.38,36454.046,1.903153,1899.34663475215,250.0
Santa Catarina,Presidente Castello Branco - SC,67.0,332.0,252.0,253.17,7448.659,2.267733,2263.19772971035,65.0
Santa Catarina,Presidente Getúlio - SC,903.0,8012.0,7006.0,7115.24,177922.741,1.927383,1923.5281863026,876.0
Santa Catarina,Presidente Nereu - SC,60.0,390.0,315.0,312.24,7266.014,1.793634,1790.04661108812,60.0
Santa Catarina,Princesa - SC,71.0,704.0,634.0,667.09,16745.726,1.934843,1930.97298600004,71.0
Santa Catarina,Quilombo - SC,427.0,3222.0,2734.0,2689.31,87965.423,2.521142,2516.09929684566,415.0
Santa Catarina,Rancho Queimado - SC,163.0,763.0,551.0,573.49,21234.992,2.853989,2848.28144008949,162.0
Santa Catarina,Rio das Antas - SC,159.0,1113.0,971.0,1028.88,27026.746,2.024674,2020.62481682846,155.0
Santa Catarina,Rio do Campo - SC,224.0,1292.0,1076.0,1107.09,28092.03,1.955808,1951.89676053021,221.0
Santa Catarina,Rio do Oeste - SC,250.0,1737.0,1439.0,1442.77,36367.515,1.942865,1938.97929250411,247.0
Santa Catarina,Rio dos Cedros - SC,483.0,4011.0,3429.0,3469.71,87919.62,1.953074,1949.1679974141,478.0
Santa Catarina,Rio do Sul - SC,4309.0,29622.0,24851.0,25559.24,850220.356,2.563951,2558.82279152877,4123.0
Santa Catarina,Rio Fortuna - SC,296.0,1369.0,1015.0,1035.36,25948.191,1.931709,1927.84605577547,289.0
Santa Catarina,Rio Negrinho - SC,1847.0,13822.0,11965.0,11948.5,335173.562,2.162133,2157.8090716247,1780.0
Santa Catarina,Rio Rufino - SC,55.0,423.0,371.0,385.93,7901.588,1.578091,1574.93447396798,55.0
Santa Catarina,Riqueza - SC,216.0,805.0,624.0,628.27,17197.878,2.109865,2105.64517215161,216.0
Santa Catarina,Rodeio - SC,577.0,3632.0,2867.0,3004.08,73724.744,1.891594,1887.81062882685,569.0
Santa Catarina,Romelândia - SC,128.0,417.0,313.0,331.05,9980.365,2.323694,2319.04662321518,126.0
Santa Catarina,Salete - SC,379.0,2486.0,2048.0,2212.41,60603.327,2.111334,2107.11142356769,377.0
Santa Catarina,Saltinho - SC,73.0,521.0,448.0,482.94,12726.122,2.031089,2027.02708729544,72.0
Santa Catarina,Salto Veloso - SC,170.0,1661.0,1499.0,1509.75,43751.078,2.233623,2229.15551479486,166.0
Santa Catarina,Sangão - SC,425.0,4273.0,3824.0,3972.8,95424.243,1.851348,1847.6455861396,420.0
Santa Catarina,Santa Cecília - SC,534.0,5010.0,4394.0,4652.23,125057.207,2.071923,2067.77935610367,523.0
Santa Catarina,Santa Helena - SC,101.0,557.0,397.0,398.95,12073.128,2.332531,2327.86603295188,101.0
Santa Catarina,Santa Rosa de Lima - SC,103.0,529.0,362.0,378.45,9783.726,1.992608,1988.62282386658,102.0
Santa Catarina,Santa Rosa do Sul - SC,273.0,1451.0,1119.0,1116.36,27262.253,1.882277,1878.51265238398,270.0
Santa Catarina,Santa Terezinha - SC,190.0,856.0,675.0,705.42,18230.469,1.99194,1987.95578411552,187.0
Santa Catarina,Santa Terezinha do Progresso - SC,48.0,323.0,251.0,268.66,6691.943,1.919886,1916.04573123593,48.0
Santa Catarina,Santiago do Sul - SC,47.0,278.0,235.0,231.81,7412.036,2.464515,2459.58593410386,47.0
