uf,atividades,faixa,unidades_locais,pessoal_ocp_total,pessoal_ocp_assal,pessoal_assal_medio,salarios_outras_rem,salario_medio_mensal_min,salario_medio_mensal
Brasil,J Informação e comunicação,5 a 9,14313,93582,66137,66453.59,2047676.132,2.375029,2370.27899644526
Brasil,J Informação e comunicação,10 a 19,8805,118345,102737,102693.16,3706758.234,2.782139,2776.57488355827
Brasil,J Informação e comunicação,20 a 29,2757,65917,62219,61763.41,2599159.732,3.243604,3237.11666826686
Brasil,J Informação e comunicação,30 a 49,2420,91822,88860,85533.63,4043989.267,3.644175,3636.8864207159
Brasil,J Informação e comunicação,50 a 99,1559,107210,105402,102835.72,5955417.433,4.463693,4454.76565251541
Brasil,J Informação e comunicação,100 a 249,836,127141,126277,123657.36,9005520.712,5.613258,5602.03098676487
Brasil,J Informação e comunicação,250 a 499,320,111799,111549,110612.46,8691086.109,6.056143,6044.03053062641
Brasil,J Informação e comunicação,500 ou mais,206,223835,223748,227660.61,19882227.296,6.731367,6717.90389954726
Brasil,"K Atividades financeiras, de seguros e serviços relacionados",Total,171964,1236551,1036591,1047888.06,84633849.3,6.225229,6212.77820457273
Brasil,"K Atividades financeiras, de seguros e serviços relacionados",0 a 4,129432,175731,33532,42297.4,1659816.97,3.024633,3018.58337537386
Brasil,"K Atividades financeiras, de seguros e serviços relacionados",5 a 9,18828,124028,91536,91450.97,5351645.74,4.510505,4501.48376690894
Brasil,"K Atividades financeiras, de seguros e serviços relacionados",10 a 19,13495,181050,166583,167793.12,11281652.659,5.182325,5171.96077710273
Brasil,"K Atividades financeiras, de seguros e serviços relacionados",20 a 29,4558,108618,105660,106490.78,7862323.938,5.690691,5679.30997478771
Brasil,"K Atividades financeiras, de seguros e serviços relacionados",30 a 49,3041,113427,110835,111894.26,9327472.322,6.425135,6412.28487433651
Brasil,"K Atividades financeiras, de seguros e serviços relacionados",50 a 99,1520,102036,99019,99177.35,8543788.793,6.639939,6626.6594392617
Brasil,"K Atividades financeiras, de seguros e serviços relacionados",100 a 249,691,103515,101954,100904.15,8322319.215,6.357135,6344.42092970256
Brasil,"K Atividades financeiras, de seguros e serviços relacionados",250 a 499,224,75280,74817,74440.91,6296570.287,6.519563,6506.52390652481
Brasil,"K Atividades financeiras, de seguros e serviços relacionados",500 ou mais,175,252866,252655,253439.12,25988259.376,7.903685,7887.87806348492
Brasil,L Atividades imobiliárias,Total,133860,372947,159743,160080.41,5072345.573,2.442287,2437.40273211636
