codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
09.9,"Atividades de apoio à extração de minerais, exceto petróleo e gás natural",362,3625,3142,2782,360,239,2903,2935.33,2575.03,360.3,238.72,2696.61,105091.894,92237.612,12854.282,19385.403,85706.491,2.759551,2.760908,2.749854,6.259104,2.44975,2754.03169188945,2755.38573262328,2744.35449091569,6246.58531398226,2444.85001538969
C,Indústrias de transformação,390555,7746720,7191635,5070508,2121127,833876,6357759,7458088.27,5255616.92,2202471.35,872878.85,6585209.42,296211099.206,227882199.557,68328899.649,99211697.421,196999401.785,3.061258,3.342049,2.391224,8.760623,2.305799,3055.13535705207,3335.36485492612,2386.44157789804,8743.10224423998,2301.18727755019
10,Fabricação de produtos alimentícios,54398,1704116,1625615,1092676,532939,137542,1488073,1655174.01,1112455.99,542718.02,142264.85,1512909.16,50403363.373,36239540.753,14163822.62,12803938.664,37599424.709,2.347156,2.51088,2.011557,6.937006,1.915554,2342.46174390032,2505.85821466969,2007.53388826683,6923.13216349106,1911.72313290366
10.1,Abate e fabricação de produtos de carne,4618,607245,600647,382297,218350,41987,558660,605507.25,384893.15,220614.1,42467.27,563039.98,16735173.455,11558867,5176306.455,3180229.57,13554943.885,2.130281,2.314735,1.808476,5.772052,1.855601,2126.02084450682,2310.10506522295,1804.85934314889,5760.5078886906,1851.88979147421
10.2,Preservação do pescado e fabricação de produtos do pescado,656,19898,19028,11087,7941,1225,17803,19961.33,11696.35,8264.98,1268.48,18692.85,486337.004,311725.183,174611.821,86203.391,400133.613,1.877906,2.054223,1.628388,5.238016,1.649892,1874.15060866339,2050.11479912701,1625.13140243068,5227.54010857331,1646.59261120202
10.3,"Fabricação de conservas de frutas, legumes e outros vegetais",3429,106975,101766,70094,31672,6325,95441,100757.02,69309.06,31447.96,6463.32,94293.7,2575754.537,1891172.59,684581.947,476477.042,2099277.495,1.970404,2.103136,1.677873,5.682147,1.715984,1966.46312469955,2098.92926863219,1674.51719504956,5670.78222242534,1712.55220901046
10.4,Fabricação de óleos e gorduras vegetais e animais,414,55771,55105,43808,11297,12204,42901,59798.88,47909.97,11888.91,12927.62,46871.26,3156480.713,2501244.741,655235.972,1564673.622,1591807.091,4.068518,4.023985,4.247974,9.328918,2.61764,4060.38054044336,4015.93742628903,4239.47755319227,9310.26046438675,2612.40468695939
10.5,Laticínios,6848,157782,147251,101882,45369,18451,128800,154205.58,106921.56,47284.02,20167.71,134037.87,5712790.837,4032936.003,1679854.834,2021147.923,3691642.914,2.855449,2.907248,2.738315,7.724451,2.122845,2849.73766189265,2901.43397070353,2732.83876065074,7709.00202124317,2118.59925740504
10.6,"Moagem, fabricação de produtos amiláceos e de alimentos para animais",5052,139870,131902,102831,29071,18131,113771,137366.82,107193.1,30173.72,18468.74,118898.08,5083465.546,3989330.211,1094135.335,1796628.761,3286836.785,2.852359,2.868529,2.794913,7.49803,2.130735,2846.65402628356,2862.79205184203,2789.32317720392,7483.03416392322,2126.47335302768
10.7,Fabricação e refino de açúcar,265,155219,154713,142132,12581,7158,147555,152826.41,139271.21,13555.2,7653.5,145172.91,4384614.281,3998634.639,385979.642,702381.514,3682232.767,2.211358,2.212975,2.194748,7.073577,1.955023,2206.93544797254,2208.54891634155,2190.35806866057,7059.42996416923,1951.11246571151
