codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
10.3,"Fabricação de conservas de frutas, legumes e outros vegetais",783,10747,9515,5457,4058,755,8760,8832.29,5280.81,3551.48,751.49,8080.8,263572.979,171964.418,91608.561,52241.322,211331.657,2.300137,2.509945,1.988167,5.358177,2.015748,2295.53655263375,2504.92484180384,1984.1903613748,5347.46068579652,2011.71682354375
10.4,Fabricação de óleos e gorduras vegetais e animais,104,20708,20538,16157,4381,4746,15792,22029.42,17405.47,4623.95,5041.8,16987.62,1048418.481,845765.384,202653.097,509755.827,538662.654,3.66824,3.745331,3.378051,7.792964,2.444052,3660.90325853057,3737.84078754022,3371.29505492723,7777.37845458124,2439.16385987153
10.5,Laticínios,1464,32879,30486,19793,10693,3208,27278,30773.45,20009.37,10764.08,3377.22,27396.23,1022035.509,725088.013,296947.496,247029.688,775005.821,2.559858,2.79308,2.126321,5.637881,2.180421,2554.7384539895,2787.49410900993,2122.06849790443,5626.60522332205,2176.05971276396
10.6,"Moagem, fabricação de produtos amiláceos e de alimentos para animais",1547,42568,39995,32154,7841,4479,35516,43187.23,34618.31,8568.92,4722.75,38464.48,1494160.537,1223672.203,270488.334,367504.025,1126656.512,2.666662,2.724491,2.433036,5.997818,2.257656,2661.328960507,2719.04177298083,2428.17005212756,5985.82190135311,2253.14070379897
10.7,Fabricação e refino de açúcar,46,10106,10009,8468,1541,621,9388,13457.81,11316.52,2141.29,750.39,12707.42,356147.441,313153.127,42994.314,63078.012,293069.429,2.039772,2.132897,1.54761,6.479136,1.777621,2035.69206282449,2128.63160025547,1544.51518620874,6466.17728012203,1774.06603628189
10.8,Torrefação e moagem de café,187,2656,2352,1890,462,439,1913,2419.44,1956.47,462.97,453.99,1965.45,112241.071,96668.002,15573.069,43124.452,69116.619,3.575716,3.808339,2.592671,7.321556,2.710482,3568.56484908141,3800.72280885787,2587.48598098232,7306.9132325856,2705.06143631229
10.9,Fabricação de outros produtos alimentícios,8336,96581,84573,42735,41838,6063,78510,85701.44,43515.79,42185.65,6169.51,79531.93,2529732.922,1468521.988,1061210.934,583522.239,1946210.683,2.275164,2.601116,1.938934,7.290089,1.886142,2270.61342439341,2595.91357174382,1935.05635939454,7275.50908855372,1882.36993716766
11,Fabricação de bebidas,1701,16295,13379,9939,3440,1774,11605,13480.16,10018.28,3461.88,1778.95,11701.21,453821.008,354429.135,99391.873,110499.744,343321.264,2.59487,2.726857,2.212916,4.787664,2.261497,2589.68056074203,2721.40323642228,2208.49038450428,4778.08837105726,2256.97410780595
11.1,Fabricação de bebidas alcoólicas,1429,10123,7637,5329,2308,1174,6463,7703.35,5387.16,2316.19,1175.93,6527.42,249334.263,182222.524,67111.739,66662.003,182672.26,2.494758,2.607164,2.233317,4.369412,2.157035,2489.76856722175,2601.94930738445,2228.85059582265,4360.67315623837,2152.72072391424
11.2,Fabricação de bebidas não-alcoólicas,272,6172,5742,4610,1132,600,5142,5776.81,4631.12,1145.69,603.02,5173.79,204486.745,172206.611,32280.134,43837.741,160649.004,2.728369,2.86609,2.171672,5.603283,2.39329,2722.91275208716,2860.35826854311,2167.32906001556,5592.07642047846,2388.50353267289
