codigo_cnae,atividade,tipo_empresa,total_empresas,pessoal_ocupado_total,numero_empresas_percent_total,pessoal_ocupado_percent_total,numero_empresas_mais_de_um_local_pct,pessoal_ocupado_mais_de_um_local_pct
71,Serviços de arquitetura e engenharia; testes e análises técnicas,Unidade local única,83777,278239,98.82,73.83,,
71,Serviços de arquitetura e engenharia; testes e análises técnicas,Mais de uma unidade local,998,98618,1.18,26.17,100,100
71,Serviços de arquitetura e engenharia; testes e análises técnicas,Mais de uma unidade local - não diversificada,349,11014,0.41,2.92,34.97,11.17
71,Serviços de arquitetura e engenharia; testes e análises técnicas,Mais de uma unidade local - diversificada,649,87604,0.77,23.25,65.03,88.83
71,Serviços de arquitetura e engenharia; testes e análises técnicas,Mais de uma unidade local - diversificada - espacial,344,46148,0.41,12.25,34.47,46.79
71,Serviços de arquitetura e engenharia; testes e análises técnicas,Mais de uma unidade local - diversificada - atividade,162,7760,0.19,2.06,16.23,7.87
71,Serviços de arquitetura e engenharia; testes e análises técnicas,Mais de uma unidade local - diversificada - mista,143,33696,0.17,8.94,14.33,34.17
72,Pesquisa e desenvolvimento científico,Unidade local única,1771,8777,97.31,34.89,,
72,Pesquisa e desenvolvimento científico,Mais de uma unidade local,49,16377,2.69,65.11,100,100
72,Pesquisa e desenvolvimento científico,Mais de uma unidade local - não diversificada,20,3969,1.1,15.78,40.82,24.24
72,Pesquisa e desenvolvimento científico,Mais de uma unidade local - diversificada,29,12408,1.59,49.33,59.18,75.76
72,Pesquisa e desenvolvimento científico,Mais de uma unidade local - diversificada - espacial,17,11062,0.93,43.98,34.69,67.55
72,Pesquisa e desenvolvimento científico,Mais de uma unidade local - diversificada - atividade,8,1134,0.44,4.51,16.33,6.92
72,Pesquisa e desenvolvimento científico,Mais de uma unidade local - diversificada - mista,4,212,0.22,0.84,8.16,1.29
73,Publicidade e pesquisa de mercado,Unidade local única,48270,152687,98.87,83.11,,
73,Publicidade e pesquisa de mercado,Mais de uma unidade local,553,31035,1.13,16.89,100,100
73,Publicidade e pesquisa de mercado,Mais de uma unidade local - não diversificada,231,8597,0.47,4.68,41.77,27.7
73,Publicidade e pesquisa de mercado,Mais de uma unidade local - diversificada,322,22438,0.66,12.21,58.23,72.3
73,Publicidade e pesquisa de mercado,Mais de uma unidade local - diversificada - espacial,212,20096,0.43,10.94,38.34,64.75
73,Publicidade e pesquisa de mercado,Mais de uma unidade local - diversificada - atividade,73,1186,0.15,0.65,13.2,3.82
73,Publicidade e pesquisa de mercado,Mais de uma unidade local - diversificada - mista,37,1156,0.08,0.63,6.69,3.72
74,"Outras atividades profissionais, científicas e técnicas",Unidade local única,45382,132343,98.28,76.78,,
74,"Outras atividades profissionais, científicas e técnicas",Mais de uma unidade local,793,40026,1.72,23.22,100,100
74,"Outras atividades profissionais, científicas e técnicas",Mais de uma unidade local - não diversificada,401,8532,0.87,4.95,50.57,21.32
74,"Outras atividades profissionais, científicas e técnicas",Mais de uma unidade local - diversificada,392,31494,0.85,18.27,49.43,78.68
74,"Outras atividades profissionais, científicas e técnicas",Mais de uma unidade local - diversificada - espacial,156,7344,0.34,4.26,19.67,18.35
74,"Outras atividades profissionais, científicas e técnicas",Mais de uma unidade local - diversificada - atividade,144,8883,0.31,5.15,18.16,22.19
74,"Outras atividades profissionais, científicas e técnicas",Mais de uma unidade local - diversificada - mista,92,15267,0.2,8.86,11.6,38.14
75,Atividades veterinárias,Unidade local única,9408,29475,98.49,94.17,,
75,Atividades veterinárias,Mais de uma unidade local,144,1826,1.51,5.83,100,100
75,Atividades veterinárias,Mais de uma unidade local - não diversificada,105,1320,1.1,4.22,72.92,72.29
75,Atividades veterinárias,Mais de uma unidade local - diversificada,39,506,0.41,1.62,27.08,27.71
75,Atividades veterinárias,Mais de uma unidade local - diversificada - espacial,6,141,0.06,0.45,4.17,7.72
75,Atividades veterinárias,Mais de uma unidade local - diversificada - atividade,33,365,0.35,1.17,22.92,19.99
75,Atividades veterinárias,Mais de uma unidade local - diversificada - mista,,,,,,
N,Atividades administrativas e serviços complementares,Unidade local única,312086,2803580,97.72,65.03,,
N,Atividades administrativas e serviços complementares,Mais de uma unidade local,7271,1507395,2.28,34.97,100,100
N,Atividades administrativas e serviços complementares,Mais de uma unidade local - não diversificada,3702,152834,1.16,3.55,50.91,10.14
N,Atividades administrativas e serviços complementares,Mais de uma unidade local - diversificada,3569,1354561,1.12,31.42,49.09,89.86
N,Atividades administrativas e serviços complementares,Mais de uma unidade local - diversificada - espacial,1602,749109,0.5,17.38,22.03,49.7
N,Atividades administrativas e serviços complementares,Mais de uma unidade local - diversificada - atividade,1233,107388,0.39,2.49,16.96,7.12
N,Atividades administrativas e serviços complementares,Mais de uma unidade local - diversificada - mista,734,498064,0.23,11.55,10.09,33.04
77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,Unidade local única,43715,216820,96.54,72.29,,
77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,Mais de uma unidade local,1567,83118,3.46,27.71,100,100
77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,Mais de uma unidade local - não diversificada,622,10369,1.37,3.46,39.69,12.48
77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,Mais de uma unidade local - diversificada,945,72749,2.09,24.25,60.31,87.52
77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,Mais de uma unidade local - diversificada - espacial,429,24818,0.95,8.27,27.38,29.86
77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,Mais de uma unidade local - diversificada - atividade,295,6834,0.65,2.28,18.83,8.22
77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,Mais de uma unidade local - diversificada - mista,221,41097,0.49,13.7,14.1,49.44
78,"Seleção, agenciamento e locação de mão-de-obra",Unidade local única,6177,431425,96.17,65.53,,
78,"Seleção, agenciamento e locação de mão-de-obra",Mais de uma unidade local,246,226906,3.83,34.47,100,100
78,"Seleção, agenciamento e locação de mão-de-obra",Mais de uma unidade local - não diversificada,88,30483,1.37,4.63,35.77,13.43
78,"Seleção, agenciamento e locação de mão-de-obra",Mais de uma unidade local - diversificada,158,196423,2.46,29.84,64.23,86.57
78,"Seleção, agenciamento e locação de mão-de-obra",Mais de uma unidade local - diversificada - espacial,73,112544,1.14,17.1,29.67,49.6
78,"Seleção, agenciamento e locação de mão-de-obra",Mais de uma unidade local - diversificada - atividade,35,8226,0.54,1.25,14.23,3.63
78,"Seleção, agenciamento e locação de mão-de-obra",Mais de uma unidade local - diversificada - mista,50,75653,0.78,11.49,20.33,33.34
79,"Agências de viagens, operadores turísticos e serviços de reservas",Unidade local única,19007,74068,95.35,74.48,,
79,"Agências de viagens, operadores turísticos e serviços de reservas",Mais de uma unidade local,927,25383,4.65,25.52,100,100
79,"Agências de viagens, operadores turísticos e serviços de reservas",Mais de uma unidade local - não diversificada,625,8199,3.14,8.24,67.42,32.3
79,"Agências de viagens, operadores turísticos e serviços de reservas",Mais de uma unidade local - diversificada,302,17184,1.51,17.28,32.58,67.7
79,"Agências de viagens, operadores turísticos e serviços de reservas",Mais de uma unidade local - diversificada - espacial,199,14745,1,14.83,21.47,58.09
79,"Agências de viagens, operadores turísticos e serviços de reservas",Mais de uma unidade local - diversificada - atividade,72,1352,0.36,1.36,7.77,5.33
79,"Agências de viagens, operadores turísticos e serviços de reservas",Mais de uma unidade local - diversificada - mista,31,1087,0.16,1.09,3.34,4.28
80,"Atividades de vigilância, segurança e investigação",Unidade local única,10714,311648,96.25,46.86,,
80,"Atividades de vigilância, segurança e investigação",Mais de uma unidade local,418,353442,3.75,53.14,100,100
80,"Atividades de vigilância, segurança e investigação",Mais de uma unidade local - não diversificada,72,12266,0.65,1.84,17.22,3.47
80,"Atividades de vigilância, segurança e investigação",Mais de uma unidade local - diversificada,346,341176,3.11,51.3,82.78,96.53
80,"Atividades de vigilância, segurança e investigação",Mais de uma unidade local - diversificada - espacial,256,308782,2.3,46.43,61.24,87.36
80,"Atividades de vigilância, segurança e investigação",Mais de uma unidade local - diversificada - atividade,43,6418,0.39,0.96,10.29,1.82
80,"Atividades de vigilância, segurança e investigação",Mais de uma unidade local - diversificada - mista,47,25976,0.42,3.91,11.24,7.35
81,Serviços para edifícios e atividades paisagísticas,Unidade local única,30555,831216,98.69,73.11,,
81,Serviços para edifícios e atividades paisagísticas,Mais de uma unidade local,407,305661,1.31,26.89,100,100
81,Serviços para edifícios e atividades paisagísticas,Mais de uma unidade local - não diversificada,127,28192,0.41,2.48,31.2,9.22
81,Serviços para edifícios e atividades paisagísticas,Mais de uma unidade local - diversificada,280,277469,0.9,24.41,68.8,90.78
81,Serviços para edifícios e atividades paisagísticas,Mais de uma unidade local - diversificada - espacial,112,87281,0.36,7.68,27.52,28.55
81,Serviços para edifícios e atividades paisagísticas,Mais de uma unidade local - diversificada - atividade,91,47284,0.29,4.16,22.36,15.47
81,Serviços para edifícios e atividades paisagísticas,Mais de uma unidade local - diversificada - mista,77,142904,0.25,12.57,18.92,46.75
82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",Unidade local única,201918,938403,98.2,64.66,,
82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",Mais de uma unidade local,3706,512885,1.8,35.34,100,100
82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",Mais de uma unidade local - não diversificada,2168,63325,1.05,4.36,58.5,12.35
82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",Mais de uma unidade local - diversificada,1538,449560,0.75,30.98,41.5,87.65
82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",Mais de uma unidade local - diversificada - espacial,533,200939,0.26,13.85,14.38,39.18
82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",Mais de uma unidade local - diversificada - atividade,697,37274,0.34,2.57,18.81,7.27
82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",Mais de uma unidade local - diversificada - mista,308,211347,0.15,14.56,8.31,41.21
R,"Artes, cultura, esporte e recreação",Unidade local única,56095,206842,97.92,85.07,,
R,"Artes, cultura, esporte e recreação",Mais de uma unidade local,1192,36306,2.08,14.93,100,100
R,"Artes, cultura, esporte e recreação",Mais de uma unidade local - não diversificada,868,12385,1.52,5.09,72.82,34.11
R,"Artes, cultura, esporte e recreação",Mais de uma unidade local - diversificada,324,23921,0.57,9.84,27.18,65.89
R,"Artes, cultura, esporte e recreação",Mais de uma unidade local - diversificada - espacial,87,6911,0.15,2.84,7.3,19.04
R,"Artes, cultura, esporte e recreação",Mais de uma unidade local - diversificada - atividade,199,3728,0.35,1.53,16.69,10.27
R,"Artes, cultura, esporte e recreação",Mais de uma unidade local - diversificada - mista,38,13282,0.07,5.46,3.19,36.58
90,"Atividades artísticas, criativas e de espetáculos",Unidade local única,14372,32505,99.33,96.65,,
90,"Atividades artísticas, criativas e de espetáculos",Mais de uma unidade local,97,1127,0.67,3.35,100,100
90,"Atividades artísticas, criativas e de espetáculos",Mais de uma unidade local - não diversificada,47,299,0.32,0.89,48.45,26.53
90,"Atividades artísticas, criativas e de espetáculos",Mais de uma unidade local - diversificada,50,828,0.35,2.46,51.55,73.47
90,"Atividades artísticas, criativas e de espetáculos",Mais de uma unidade local - diversificada - espacial,22,614,0.15,1.83,22.68,54.48
90,"Atividades artísticas, criativas e de espetáculos",Mais de uma unidade local - diversificada - atividade,21,151,0.15,0.45,21.65,13.4
90,"Atividades artísticas, criativas e de espetáculos",Mais de uma unidade local - diversificada - mista,7,63,0.05,0.19,7.22,5.59
91,Atividades ligadas ao patrimônio cultural e ambiental,Unidade local única,349,1454,97.49,53.65,,
91,Atividades ligadas ao patrimônio cultural e ambiental,Mais de uma unidade local,9,1256,2.51,46.35,100,100
91,Atividades ligadas ao patrimônio cultural e ambiental,Mais de uma unidade local - não diversificada,1,,,,,
91,Atividades ligadas ao patrimônio cultural e ambiental,Mais de uma unidade local - diversificada,8,,,,,
91,Atividades ligadas ao patrimônio cultural e ambiental,Mais de uma unidade local - diversificada - espacial,1,,,,,
91,Atividades ligadas ao patrimônio cultural e ambiental,Mais de uma unidade local - diversificada - atividade,3,316,0.84,11.66,33.33,25.16
91,Atividades ligadas ao patrimônio cultural e ambiental,Mais de uma unidade local - diversificada - mista,4,564,1.12,20.81,44.44,44.9
92,Atividades de exploração de jogos de azar e apostas,Unidade local única,53,90,98.15,96.77,,
92,Atividades de exploração de jogos de azar e apostas,Mais de uma unidade local,1,,,,,
92,Atividades de exploração de jogos de azar e apostas,Mais de uma unidade local - não diversificada,1,,,,,
92,Atividades de exploração de jogos de azar e apostas,Mais de uma unidade local - diversificada,,,,,,
92,Atividades de exploração de jogos de azar e apostas,Mais de uma unidade local - diversificada - espacial,,,,,,
92,Atividades de exploração de jogos de azar e apostas,Mais de uma unidade local - diversificada - atividade,,,,,,
92,Atividades de exploração de jogos de azar e apostas,Mais de uma unidade local - diversificada - mista,,,,,,
93,Atividades esportivas e de recreação e lazer,Unidade local única,41321,172793,97.44,83.59,,
93,Atividades esportivas e de recreação e lazer,Mais de uma unidade local,1085,33920,2.56,16.41,100,100
93,Atividades esportivas e de recreação e lazer,Mais de uma unidade local - não diversificada,819,12050,1.93,5.83,75.48,35.52
93,Atividades esportivas e de recreação e lazer,Mais de uma unidade local - diversificada,266,21870,0.63,10.58,24.52,64.48
93,Atividades esportivas e de recreação e lazer,Mais de uma unidade local - diversificada - espacial,64,5954,0.15,2.88,5.9,17.55
93,Atividades esportivas e de recreação e lazer,Mais de uma unidade local - diversificada - atividade,175,3261,0.41,1.58,16.13,9.61
93,Atividades esportivas e de recreação e lazer,Mais de uma unidade local - diversificada - mista,27,12655,0.06,6.12,2.49,37.31
S,Outras atividades de serviços,Unidade local única,89907,349333,96.55,81.59,,
S,Outras atividades de serviços,Mais de uma unidade local,3211,78811,3.45,18.41,100,100
S,Outras atividades de serviços,Mais de uma unidade local - não diversificada,2424,35334,2.6,8.25,75.49,44.83
S,Outras atividades de serviços,Mais de uma unidade local - diversificada,787,43477,0.85,10.15,24.51,55.17
S,Outras atividades de serviços,Mais de uma unidade local - diversificada - espacial,182,12548,0.2,2.93,5.67,15.92
S,Outras atividades de serviços,Mais de uma unidade local - diversificada - atividade,495,11482,0.53,2.68,15.42,14.57
S,Outras atividades de serviços,Mais de uma unidade local - diversificada - mista,110,19447,0.12,4.54,3.43,24.68
94,Atividades de organizações associativas,Unidade local única,887,3879,97.79,86.16,,
94,Atividades de organizações associativas,Mais de uma unidade local,20,623,2.21,13.84,100,100
94,Atividades de organizações associativas,Mais de uma unidade local - não diversificada,12,136,1.32,3.02,60,21.83
94,Atividades de organizações associativas,Mais de uma unidade local - diversificada,8,487,0.88,10.82,40,78.17
94,Atividades de organizações associativas,Mais de uma unidade local - diversificada - espacial,1,,,,,
94,Atividades de organizações associativas,Mais de uma unidade local - diversificada - atividade,5,226,0.55,5.02,25,36.28
94,Atividades de organizações associativas,Mais de uma unidade local - diversificada - mista,2,,,,,
95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,Unidade local única,36795,130238,98.19,84.67,,
95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,Mais de uma unidade local,678,23587,1.81,15.33,100,100
95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,Mais de uma unidade local - não diversificada,340,3492,0.91,2.27,50.15,14.8
95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,Mais de uma unidade local - diversificada,338,20095,0.9,13.06,49.85,85.2
95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,Mais de uma unidade local - diversificada - espacial,68,2005,0.18,1.3,10.03,8.5
95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,Mais de uma unidade local - diversificada - atividade,195,3865,0.52,2.51,28.76,16.39
95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,Mais de uma unidade local - diversificada - mista,75,14225,0.2,9.25,11.06,60.31
96,Outras atividades de serviços pessoais,Unidade local única,52225,215216,95.41,79.76,,
96,Outras atividades de serviços pessoais,Mais de uma unidade local,2513,54601,4.59,20.24,100,100
96,Outras atividades de serviços pessoais,Mais de uma unidade local - não diversificada,2072,31706,3.79,11.75,82.45,58.07
96,Outras atividades de serviços pessoais,Mais de uma unidade local - diversificada,441,22895,0.81,8.49,17.55,41.93
96,Outras atividades de serviços pessoais,Mais de uma unidade local - diversificada - espacial,113,10515,0.21,3.9,4.5,19.26
96,Outras atividades de serviços pessoais,Mais de uma unidade local - diversificada - atividade,295,7391,0.54,2.74,11.74,13.54
96,Outras atividades de serviços pessoais,Mais de uma unidade local - diversificada - mista,33,4989,0.06,1.85,1.31,9.14
