codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_part_rel,pessoal_ocup_part_acc,pessoal_ocup_assalariado,salario_medio_mensal_sal_min
47.24-5,Comércio varejista de hortifrutigranjeiros,14782.0,92499.0,0.173804029798037,75.30276660487633,74062,1.503599
45.41-2,Comércio por atacado e a varejo de motocicletas, peças e acessórios,16416.0,92494.0,0.173794634884048,75.47656123976037,71442,1.853672
46.33-8,Comércio atacadista de hortifrutigranjeiros,9965.0,92488.0,0.173783360987263,75.65034460074763,78300,1.806212
52.50-8,Atividades relacionadas à organização do transporte de carga,4884.0,91539.0,0.172000206312311,75.82234480705993,84089,2.969067
81.29-0,Atividades de limpeza não especificadas anteriormente,3005.0,91003.0,0.170993071532781,75.99333787859271,87220,1.494734
61.90-6,Outras atividades de telecomunicações,7735.0,90839.0,0.17068491835397,76.16402279694668,80034,2.520929
64.24-7,Crédito cooperativo,1023.0,89895.0,0.168911158593006,76.33293395553969,81639,3.501434
64.23-9,Caixas econômicas,1.0,89565.0,,,,
29.10-7,Fabricação de automóveis, camionetas e utilitários,45.0,88044.0,0.165433161434592,76.66665821124407,87968,7.087171
52.23-1,Estacionamento de veículos,12168.0,87803.0,0.164980326580363,76.83163853782443,69240,1.671032
47.52-1,Comércio varejista especializado de equipamentos de telefonia e comunicação,17079.0,87536.0,0.164478638173396,76.99611717599782,63964,1.69508
47.23-7,Comércio varejista de bebidas,28674.0,87135.0,0.163725166071546,77.15984234206937,51904,1.508109
79.11-2,Agências de viagens,17201.0,86607.0,0.162733063154397,77.32257540522376,60735,2.918898
80.20-0,Atividades de monitoramento de sistemas de segurança,5650.0,86546.0,0.162618445203741,77.4851938504275,79157,1.961116
68.22-6,Gestão e administração da propriedade imobiliária,17961.0,86287.0,0.162131788659155,77.64732563908666,58892,2.225967
14.11-8,Confecção de roupas íntimas,5411.0,86155.0,0.161883762929868,77.80920940201652,78573,1.458204
46.23-1,Comércio atacadista de animais vivos, alimentos para animais e matérias-primas agrícolas, exceto café e soja,7845.0,84235.0,0.158276115958417,77.96748551797494,73187,2.429128
47.84-9,Comércio varejista de gás liquefeito de petróleo (glp),25626.0,82149.0,0.154356557842559,78.1218420758175,48819,1.87023
84.13-2,Regulação das atividades econômicas,333.0,81945.0,0.153973245351843,78.27581532116935,81940,7.851418
43.22-3,Instalações hidráulicas, de sistemas de ventilação e refrigeração,12564.0,81141.0,0.152462543182548,78.4282778643519,64374,2.080558
85.93-7,Ensino de idiomas,9345.0,81077.0,0.152342288283499,78.58062015263539,66856,1.724443
82.30-0,Atividades de organização de eventos, exceto culturais e esportivos,22440.0,80635.0,0.151511777886947,78.73213193052234,50715,1.924708
87.11-5,Atividades de assistência a idosos, deficientes físicos, imunodeprimidos e convalescentes prestadas em residências coletivas e particulares,6123.0,80081.0,0.150470821417059,78.8826027519394,73533,1.671662
46.44-3,Comércio atacadista de produtos farmacêuticos para uso humano e veterinário,3485.0,79196.0,0.148807921641156,79.03141067358055,74367,4.14535
42.92-8,Montagem de instalações industriais e de estruturas metálicas,5192.0,78732.0,0.147936073623056,79.17934674720361,72155,2.956322
46.91-5,Comércio atacadista de mercadorias em geral, com predominância de produtos alimentícios,3145.0,78411.0,0.147332920145016,79.32667966734863,74264,2.004682
61.20-5,Telecomunicações sem fio,398.0,78187.0,0.146912027998347,79.47359169534697,77654,4.45859
52.11-7,Armazenamento,3476.0,77887.0,0.146348333159058,79.61994002850602,72619,2.747294
35.14-0,Distribuição de energia elétrica,140.0,77615.0,0.145837249838102,79.76577727834412,77285,5.289506
46.35-4,Comércio atacadista de bebidas,5156.0,74952.0,0.140833518648012,79.90661079699213,67942,2.417754
61.10-8,Telecomunicações por fio,7207.0,74514.0,0.14001052418265,80.04662132117478,64813,2.943988
16.10-2,Desdobramento de madeira,7111.0,74326.0,0.139657275416695,80.18627859659148,64164,1.729737
07.10-3,Extração de minério de ferro,226.0,74101.0,0.139234504287228,80.32551310087871,73678,4.254023
43.13-4,Obras de terraplenagem,10095.0,73456.0,0.138022560382756,80.46353566126146,59948,2.240149
01.51-2,Criação de bovinos,27793.0,73445.0,0.138001891571982,80.60153755283345,38656,1.990351
11.22-4,Fabricação de refrigerantes e de outras bebidas não-alcoólicas,514.0,72671.0,0.136547558886616,80.73808511172007,71940,2.861532
47.42-3,Comércio varejista de material elétrico,15173.0,72220.0,0.135700137644885,80.87378524936496,51142,1.898764
77.11-0,Locação de automóveis sem condutor,9418.0,72132.0,0.135534787158693,81.00932003652365,59313,2.504759
77.39-0,Aluguel de máquinas e equipamentos não especificados anteriormente,9744.0,71476.0,0.134302174443448,81.1436222109671,57791,2.580942
10.99-6,Fabricação de produtos alimentícios não especificados anteriormente,5095.0,71393.0,0.134146218871244,81.27776842983833,63891,2.460762
08.10-0,Extração de pedra, areia e argila,7972.0,71151.0,0.133691505034218,81.41145993487255,58202,2.351847
46.46-0,Comércio atacadista de cosméticos, produtos de perfumaria e de higiene pessoal,5115.0,70988.0,0.133385230838204,81.54484516571075,64262,4.739085
11.13-5,Fabricação de malte, cervejas e chopes,1434.0,70499.0,0.132466408250163,81.67731157396092,68152,4.174353
95.11-8,Reparação e manutenção de computadores e de equipamentos periféricos,15945.0,69627.0,0.130827935250629,81.80813950921156,47670,2.469305
25.99-3,Fabricação de produtos de metal não especificados anteriormente,5640.0,69593.0,0.130764049835509,81.93890355904706,61282,2.655113
42.99-5,Obras de engenharia civil não especificadas anteriormente,4668.0,68798.0,0.129270258511393,82.06817381755846,61647,2.369461
32.50-7,Fabricação de instrumentos e materiais para uso médico e odontológico e de artigos ópticos,5562.0,68406.0,0.128533697254722,82.19670751481318,60658,2.818888
46.19-2,Representantes comerciais e agentes do comércio de mercadorias em geral não especializado,38654.0,66144.0,0.124283438166481,82.32099095297967,12054,2.068084
18.13-0,Impressão de materiais para outros usos,10860.0,65599.0,0.123259392541772,82.44425034552144,50570,2.026711
25.39-0,Serviços de usinagem, solda, tratamento e revestimento em metais,8780.0,64584.0,0.121352225002177,82.56560257052362,52119,2.344017
10.92-9,Fabricação de biscoitos e bolachas,1996.0,63994.0,0.120243625151575,82.6858461956752,61245,2.31841
25.11-0,Fabricação de estruturas metálicas,4292.0,63631.0,0.119561554396035,82.80540775007123,57573,2.468522
62.03-1,Desenvolvimento e licenciamento de programas de computador não-customizáveis,5926.0,63390.0,0.119108719541806,82.92451646961302,53542,6.023538
01.13-0,Cultivo de cana-de-açúcar,8132.0,63130.0,0.118620184014422,83.04313665362744,52953,2.371983
77.32-2,Aluguel de máquinas e equipamentos para construção sem operador,8983.0,63066.0,0.118499929115374,83.16163658274282,50494,2.198896
01.61-0,Atividades de apoio à agricultura,9515.0,62567.0,0.117562316699356,83.27919889944216,49522,2.002566
25.12-8,Fabricação de esquadrias de metal,9894.0,62416.0,0.117278590296914,83.39647748973908,48852,1.909157
28.33-0,Fabricação de máquinas e equipamentos para a agricultura e pecuária, exceto para irrigação,2091.0,62122.0,0.116726169354411,83.51320365909349,58938,4.164951
94.99-5,Atividades associativas não especificadas anteriormente,20183.0,61753.0,0.116032824702085,83.62923648379558,49322,2.91824
86.60-7,Atividades de apoio à gestão de saúde,2118.0,60653.0,0.113965943624691,83.74320242742027,57495,3.142029
84.30-2,Seguridade social obrigatória,1611.0,60497.0,0.113672822308261,83.85687524972853,60497,5.878032
53.20-2,Atividades de malote e de entrega,7141.0,60387.0,0.113466134200521,83.97034138392905,51388,1.60791
46.45-1,Comércio atacadista de instrumentos e materiais para uso médico, cirúrgico, ortopédico e odontológico,6442.0,59391.0,0.111594667334081,84.08193605126313,50147,4.678311
27.10-4,Fabricação de geradores, transformadores e motores elétricos,756.0,59197.0,0.111230144671341,84.19316619593447,58083,4.768821
96.01-7,Lavanderias, tinturarias e toalheiros,6242.0,58932.0,0.110732214229969,84.30389841016444,49833,1.535147
85.41-4,Educação profissional de nível técnico,2961.0,56834.0,0.10679010832054,84.41068851848497,52133,4.847227
10.33-3,Fabricação de sucos de frutas, hortaliças e legumes,926.0,56811.0,0.106746891716194,84.51743541020117,55298,2.077639
46.79-6,Comércio atacadista especializado de materiais de construção não especificados anteriormente e de materiais de construção em geral,7136.0,56353.0,0.105886317594879,84.62332172779605,46311,1.988735
20.63-1,Fabricação de cosméticos, produtos de perfumaria e de higiene pessoal,1989.0,56303.0,0.105792368454998,84.72911409625105,53433,3.35691
23.91-5,Aparelhamento e outros trabalhos em pedras,7147.0,56233.0,0.105660839659164,84.83477493591022,45745,1.97353
46.93-1,Comércio atacadista de mercadorias em geral, sem predominância de alimentos ou de insumos agropecuários,3570.0,56230.0,0.105655202710771,84.94043013862098,51046,2.942761
85.42-2,Educação profissional de nível tecnológico,171.0,56082.0,0.105377113256722,85.0458072518777,55861,7.716357
96.03-3,Atividades funerárias e serviços relacionados,6083.0,55881.0,0.104999437714398,85.1508066895921,46380,1.776005
42.13-8,Obras de urbanização - ruas, praças e calçadas,3412.0,55880.0,0.1049975587316,85.2558042483237,50855,2.461596
29.30-1,Fabricação de cabines, carrocerias e reboques para veículos automotores,1944.0,55422.0,0.104136984610285,85.35994123293398,52772,2.854772
46.87-7,Comércio atacadista de resíduos e sucatas,7763.0,55420.0,0.10413322664469,85.46407445957867,45276,1.775463
52.12-5,Carga e descarga,3039.0,55056.0,0.103449276906353,85.56752373648501,51023,1.696622
51.11-1,Transporte aéreo de passageiros regular,102.0,54516.0,0.102434626195632,85.66995836268065,54419,6.789838
94.12-0,Atividades de organizações associativas profissionais,5941.0,53844.0,0.101171949755624,85.77113031243627,49736,3.945276
43.29-1,Obras de instalações em construções não especificadas anteriormente,6004.0,53835.0,0.101155038910446,85.87228535134672,45255,2.550131
47.83-1,Comércio varejista de jóias e relógios,11104.0,52954.0,0.0994996550657329,85.97178500641245,37567,2.095622
71.19-7,Atividades técnicas relacionadas à arquitetura e à engenharia,15653.0,52715.0,0.0990505781770992,86.07083558458955,30158,2.961916
42.22-7,Construção de redes de abastecimento de água, coleta de esgoto e construções correlatas,1526.0,52576.0,0.0987893995682285,86.16962498415778,50364,2.384357
10.66-0,Fabricação de alimentos para animais,1994.0,52037.0,0.0977766278403056,86.26740161199808,48810,3.309092
60.21-7,Atividades de televisão aberta,960.0,51760.0,0.0972561496053619,86.36465776160344,50707,7.300123
10.41-4,Fabricação de óleos vegetais em bruto, exceto óleo de milho,277.0,50448.0,0.0947909241748705,86.45944868577831,49994,4.201121
46.37-1,Comércio atacadista especializado em produtos alimentícios não especificados anteriormente,7190.0,50256.0,0.0944301594777255,86.55387884525604,40935,2.595986
84.25-6,Defesa civil,180.0,49808.0,0.0935883751843869,86.64746722044042,49784,7.452552
10.13-9,Fabricação de produtos de carne,2128.0,49235.0,0.0925117180413446,86.73997893848177,46318,2.052834
84.12-4,Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais,1637.0,48839.0,0.0917676408534828,86.83174657933525,48779,3.711369
52.29-0,Atividades auxiliares dos transportes terrestres não especificadas anteriormente,6574.0,48817.0,0.091726303231935,86.92347288256718,39373,3.795886
80.12-9,Atividades de transporte de valores,30.0,48590.0,0.0912997741368728,87.01477265670405,48548,3.18956
02.10-1,Produção florestal - florestas plantadas,5760.0,48438.0,0.091014168751633,87.10578682545568,39939,1.686227
47.41-5,Comércio varejista de tintas e materiais para pintura,8105.0,48000.0,0.0901911742862707,87.19597799974196,36095,1.825623
47.43-1,Comércio varejista de vidros,11319.0,47998.0,0.0901874163206755,87.28616541606263,33396,1.584659
13.21-9,Tecelagem de fios de algodão,502.0,47760.0,0.0897402184148394,87.37590563447748,46944,2.167036
46.61-3,Comércio atacadista de máquinas, aparelhos e equipamentos para uso agropecuário; partes e peças,3672.0,47580.0,0.0894020015112659,87.46530763598874,42166,3.267021
29.41-7,Fabricação de peças e acessórios para o sistema motor de veículos automotores,356.0,47058.0,0.0884211724909027,87.55372880847963,46557,4.168685
46.63-0,Comércio atacadista de máquinas e equipamentos para uso industrial; partes e peças,6892.0,47052.0,0.0884098985941169,87.64213870707376,37126,4.305722
32.99-0,Fabricação de produtos diversos não especificados anteriormente,5525.0,46953.0,0.0882238792971514,87.7303625863709,39173,2.358213
19.21-7,Fabricação de produtos do refino de petróleo,49.0,46700.0,0.0877484966493509,87.81811108302026,46642,19.78816
73.11-4,Agências de publicidade,10759.0,46158.0,0.0867300879730351,87.9048411709933,30156,4.483653
29.45-0,Fabricação de material elétrico e eletrônico para veículos automotores, exceto baterias,349.0,45419.0,0.0853415196855861,87.99018269067888,44948,3.428409
52.40-1,Atividades auxiliares dos transportes aéreos,1313.0,45073.0,0.0846913916376058,88.07487408231648,43395,3.763139
86.90-9,Atividades de atenção à saúde humana não especificadas anteriormente,5603.0,44334.0,0.0833028233501568,88.15817690566664,33455,3.612616
94.11-1,Atividades de organizações associativas patronais e empresariais,8077.0,43339.0,0.0814332354665143,88.23961014113316,38613,4.10708
16.21-8,Fabricação de madeira laminada e de chapas de madeira compensada, prensada e aglomerada,934.0,43226.0,0.0812209104103821,88.32083105154354,41911,2.336028
63.19-4,Portais, provedores de conteúdo e outros serviços de informação na internet,8744.0,42767.0,0.0803584573062696,88.40118950884981,30175,5.483751
71.20-1,Testes e análises técnicas,3010.0,42119.0,0.0791408764534049,88.48033038530322,37625,3.090683
35.11-5,Geração de energia elétrica,3987.0,42032.0,0.0789774049500111,88.55930779025323,37238,10.755659
72.10-0,Pesquisa e desenvolvimento experimental em ciências físicas e naturais,1667.0,41620.0,0.0782032640373873,88.63751105429061,39238,10.052829
01.15-6,Cultivo de soja,4490.0,41521.0,0.0780172447404218,88.71552829903104,34480,2.91039
10.93-7,Fabricação de produtos derivados do cacau, de chocolates e confeitos,926.0,41514.0,0.0780040918608384,88.79353239089187,40130,3.582209
