codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
38.3,Recuperação de materiais,1495,13641,11441,9399,2042,634,10807,11433.15,9417.39,2015.76,621.31,10811.84,336930.781,283082.713,53848.068,45653.525,291277.256,2.271438,2.316909,2.059005,5.663594,2.076505,2266.89515878086,2312.27477121499,2054.88702867558,5652.26636523574,2072.35241820363
39,Descontaminação e outros serviços de gestão de resíduos,67,444,374,305,69,55,319,450.35,372.18,78.17,63.14,387.21,18083.124,15240.522,2842.602,3586.551,14496.573,3.09492,3.156261,2.802864,4.37823,2.885658,3088.72996216618,3149.94853606816,2797.25844067663,4369.47320971711,2879.8868830867
39.0,Descontaminação e outros serviços de gestão de resíduos,67,444,374,305,69,55,319,450.35,372.18,78.17,63.14,387.21,18083.124,15240.522,2842.602,3586.551,14496.573,3.09492,3.156261,2.802864,4.37823,2.885658,3088.72996216618,3149.94853606816,2797.25844067663,4369.47320971711,2879.8868830867
F,Construção,133880,1212084,1016750,912065,104685,75452,941298,1023604.32,920056.53,103547.79,71683.1,951921.22,33180627.853,29322108.582,3858519.271,6193599.031,26987028.822,2.498496,2.456444,2.872142,6.659665,2.185145,2493.49864866954,2451.53068366354,2866.39796650713,6646.34613587174,2180.77425986995
41,Construção de edifícios,69248,404856,296430,261346,35084,25911,270519,301440.06,266002.76,35437.3,26403.65,275036.41,8668079.216,7270989.508,1397089.708,1978491.14,6689588.076,2.216399,2.106849,3.038714,5.775589,1.874715,2211.96653260914,2102.63564645258,3032.63620752493,5764.03740217152,1870.96573196926
41.1,Incorporação de empreendimentos imobiliários,32816,84947,31878,25123,6755,4539,27339,32173.8,25421.56,6752.24,4619.51,27554.29,987800.029,712807.381,274992.648,341100.133,646699.896,2.366425,2.161206,3.139058,5.691308,1.809005,2361.69235885673,2156.88325185394,3132.77973167195,5679.92531009366,1805.38659664807
41.2,Construção de edifícios,36432,319909,264552,236223,28329,21372,243180,269266.26,240581.2,28685.06,21784.14,247482.12,7680279.187,6558182.127,1122097.06,1637391.007,6042888.18,2.198473,2.101106,3.015093,5.793461,1.882031,2194.07625259959,2096.903449774,3009.06320089756,5781.87407832558,1878.26721505251
42,Obras de infraestrutura,10599,384756,369650,334145,35505,30218,339432,372191.43,337628.35,34563.08,26184.58,346006.85,14316864.963,12847450.301,1469414.662,2962214.289,11354650.674,2.964884,2.932947,3.276861,8.719608,2.529386,2958.95395776887,2927.08064287028,3270.30742274482,8702.16889541038,2524.32767510461
42.1,"Construção de rodovias, ferrovias, obras urbanas e obras-de-arte especiais",2613,115945,111997,101956,10041,7823,104174,114797.37,104299.2,10498.17,7557.21,107240.16,4099693.534,3610723.726,488969.808,881386.307,3218307.227,2.752616,2.668329,3.590001,8.989404,2.313109,2747.11033081092,2662.99241914681,3582.82083009193,8971.42552506913,2308.48307559981
42.2,"Obras de infraestrutura para energia elétrica, telecomunicações, água, esgoto e transporte por dutos",2289,165579,162388,144425,17963,15524,146864,158616,142304.24,16311.76,11064.52,147551.48,6134586.623,5548627.713,585958.91,1138262.092,4996324.531,2.981017,3.005342,2.768805,7.929317,2.609956,2975.05471511265,2999.33098539169,2763.26786978795,7913.45873671325,2604.73602996574
