faixa_pessoal_ocupada,numero_empresas_organizacoes,pessoal_ocupado_total,total_assalariado,total_assalariado_masc,total_assalariado_fem,total_assalariado_superior,total_assalariado_nao_superior,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_nivel_sup,pessoal_assalariado_medio_sem_nivel_sup,1000_salario_e_remun_total,1000_salario_e_remun_total_masc,1000_salario_e_remun_total_fem,1000_salario_e_remun_total_superior,1000_salario_e_remun_total_nao_superior,salario_medio_mensal_123_total,salario_medio_mensal_123_total_masc,salario_medio_mensal_123_total_fem,salario_medio_mensal_123_superior,salario_medio_mensal_123_total_nao_superior,salario_mensal_total_3,salario_mensal_total_3_masc,salario_mensal_total_3_fem,salario_mensal_total_3_superior,salario_mensal_total_3_nao_superior
"K Atividades financeiras, de seguros e serviços relacionados",84513.0,773414.0,654369.0,270146.0,384223.0,391444.0,262925.0,665950.29,273964.82,391985.47,400532.09,265418.2,49813260.306,27171896.243,22641364.063,40132572.957,9680687.349,5.765398,7.644538,4.452037,7.722996,2.811264,5753.86678532371,7629.24913076852,4443.13252085986,7707.54971640926,2805.64127710679
L Atividades imobiliárias,73945.0,207929.0,88858.0,41590.0,47268.0,18936.0,69922.0,89232.98,42157.93,47075.05,18891.3,70341.68,3223714.299,1680106.43,1543607.869,1446706.937,1777007.362,2.784564,3.071734,2.52739,5.90262,1.947164,2778.99519886033,3065.59065290554,2522.33543769266,5890.81476658568,1943.26996455018
"M Atividades profissionais, científicas e técnicas",216122.0,937507.0,621770.0,314523.0,307247.0,222986.0,398784.0,607033.3,304328.24,302705.06,219872.04,387161.26,29326981.66,16348494.318,12978487.342,18327268.271,10999713.389,3.723754,4.140584,3.304688,6.424715,2.189856,3716.30628196813,4132.30295683371,3298.07892921858,6411.865133011,2185.47640627538
N Atividades administrativas e serviços complementares,300174.0,3023030.0,2685521.0,1528618.0,1156903.0,224259.0,2461262.0,2660492.79,1515602.03,1144890.76,223450.69,2437042.1,67535835.813,43035756.501,24500079.312,13003617.583,54532218.23,1.956583,2.18862,1.649414,4.485477,1.724711,1952.6699387551,2184.24279081312,1646.11467869516,4476.50564701941,1721.26120336301
"O Administração pública, defesa e seguridade social",5113.0,2799550.0,2799454.0,1119880.0,1679574.0,1341767.0,1457687.0,2859110.22,1128008.32,1731101.9,1377378.7,1481731.52,163345399.023,77265061.997,86080337.026,104614109.525,58731289.498,4.403542,5.279551,3.832723,5.854139,3.055105,4394.73462973978,5268.99155093248,3825.05754665013,5842.43040365788,3048.99466527253
P Educação,93093.0,1596475.0,1486313.0,484897.0,1001416.0,883633.0,602680.0,1529515.48,497164.62,1032350.86,912407.48,617108.0,72506901.746,28029622.334,44477279.412,57054937.161,15451964.585,3.653857,4.345534,3.320756,4.819816,1.929961,3646.54954682874,4336.84278443441,3314.11472407594,4810.17683028741,1926.10152580199
Q Saúde humana e serviços sociais,147529.0,1720320.0,1473617.0,363956.0,1109661.0,427904.0,1045713.0,1467048.66,362462.35,1104586.31,428344.64,1038704.02,52865092.385,15778461.212,37086631.173,27661950.355,25203142.03,2.777478,3.355273,2.587878,4.977549,1.870204,2771.92275822461,3348.5623694115,2582.70246219009,4967.59416669717,1866.46358899903
"R Artes, cultura, esporte e recreação",37775.0,218585.0,169965.0,95775.0,74190.0,55594.0,114371.0,175000.33,98174.98,76825.35,56412.58,118587.75,5923751.549,4040081.383,1883670.166,2219457.32,3704294.229,2.60906,3.17187,1.889846,3.032473,2.407641,2603.84192462336,3165.52639990352,1886.06631895492,3026.40804859211,2402.82583928843
S Outras atividades de serviços,123402.0,534583.0,420378.0,185889.0,234489.0,84730.0,335648.0,424307.74,187832.37,236475.37,85767.19,338540.55,12911898.656,6371390.903,6540507.753,5238476.501,7673422.155,2.345499,2.614508,2.131826,4.707712,1.747047,2340.80805016298,2609.27864850165,2127.56187251129,4698.29699266297,1743.55256022449
U Organismos internacionais e outras instituições extraterritoriais,95.0,1000.0,969.0,404.0,565.0,555.0,414.0,969.0,397.34,571.66,557.48,411.52,92093.648,37066.797,55026.851,67696.706,24396.942,7.325411,7.190331,7.419301,9.359752,4.56952,7310.76033976344,7175.95026154698,7404.46190446715,9341.0327241819,4560.38065259002
