codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
17.4,"Fabricação de produtos diversos de papel, cartolina, papel-cartão e papelão ondulado",295,5527,5156,3914,1242,249,4907,4936.21,3701.79,1234.42,240.69,4695.52,111961.61,87222.659,24738.951,10859.712,101101.898,1.748242,1.816116,1.544701,3.477654,1.659593,1744.74577428058,1812.48404358224,1541.61163199659,3470.69866441673,1656.2742948434
18,Impressão e reprodução de gravações,3132,16431,12424,9035,3389,959,11465,12595.05,9206.29,3388.76,1013.86,11581.19,237215.571,177529.957,59685.614,27761.428,209454.143,1.451675,1.486323,1.357547,2.110522,1.393997,1448.77166945622,1483.35002899773,1354.83217369276,2106.30112790569,1391.2091204657
18.1,Atividade de impressão,2487,13701,10553,7696,2857,821,9732,10676.66,7832.66,2844,861.2,9815.46,200403.618,150615.391,49788.227,23422.044,176981.574,1.446759,1.48213,1.349346,2.096268,1.389772,1443.86567738196,1479.16535476994,1346.64684085254,2092.07581549895,1386.99227858595
18.2,Serviços de pré-impressão e acabamentos gráficos,599,2574,1797,1298,499,119,1678,1824.18,1322.38,501.8,125.69,1698.49,35033.875,25886.825,9147.05,3630.171,31403.704,1.480289,1.508859,1.405001,2.22614,1.425096,1477.32869647648,1505.84115819147,1402.19057546678,2221.68766868425,1422.24536998248
18.3,Reprodução de materiais gravados em qualquer suporte,46,156,74,41,33,19,55,94.21,51.25,42.96,26.97,67.24,1778.078,1027.741,750.337,709.213,1068.865,1.454722,1.545667,1.346227,2.026851,1.22524,1451.81223616634,1542.5756097561,1343.53423578284,2022.79741022789,1222.7897771473
19,"Fabricação de coque, de produtos derivados do petróleo e de biocombustíveis",83,36159,36028,33972,2056,1185,34843,31015.91,29171.15,1844.76,1125.19,29890.72,727886.649,682464.29,45422.359,94085.561,633801.088,1.808862,1.803236,1.897824,6.445004,1.634341,1805.24384718384,1799.62919106456,1894.02828302035,6432.11443947586,1631.07244810944
19.1,Coquerias,1,,,,,,,,,,,,,,,,,,,,,,,,,,
19.2,Fabricação de produtos derivados do petróleo,27,,,,,,,,,,,,,,,,,,,,,,,,,,
19.3,Fabricação de biocombustíveis,55,35750,35654,33662,1992,1125,34529,30692.8,28902.35,1790.45,1072.25,29620.55,708155.732,665898.072,42257.66,87123.001,621032.731,1.778355,1.775827,1.819154,6.262718,1.616023,1774.79792805328,1772.27556290006,1815.51522285975,6250.19287264379,1612.79073273324
20,Fabricação de produtos químicos,1347,34545,32626,25721,6905,7047,25579,33470.91,26331.12,7139.79,7527.99,25942.92,2526673.438,2023200.624,503472.814,1397246.578,1129426.86,5.818455,5.922373,5.435215,14.306063,3.355563,5806.81837544211,5910.52781768376,5424.34413337087,14277.4506873681,3348.85160308744
20.1,Fabricação de produtos químicos inorgânicos,107,4062,3921,3257,664,897,3024,4013.33,3359.23,654.1,936.39,3076.94,251440.571,211850.386,39590.185,122458.215,128982.356,4.828993,4.860888,4.665192,10.079924,3.231003,4819.33516172739,4851.16635016404,4655.86125386615,10059.764299392,3224.54116502359
20.2,Fabricação de produtos químicos orgânicos,46,1786,1719,1357,362,493,1226,1895.3,1519.96,375.34,598.92,1296.38,156885.896,127639.256,29246.64,67262.719,89623.177,6.380167,6.472592,6.005888,8.656288,5.328612,6367.40666182338,6459.64650891623,5993.87632136606,8638.97566902476,5317.95502743142
20.3,Fabricação de resinas e elastômeros,38,7291,7229,5569,1660,3496,3733,7834.36,6012.52,1821.84,3841.74,3992.62,1476092.821,1174787.154,301305.667,969112.21,506980.611,14.522328,15.060131,12.747446,19.4434,9.787223,14493.2836396827,15030.0111459728,12721.9508848197,19404.512818911,9767.64844599825
20.4,Fabricação de fibras artificiais e sintéticas,15,444,418,346,72,89,329,431.87,356.03,75.84,92.51,339.36,37539.634,30429.242,7110.392,19905.052,17634.582,6.69982,6.587652,7.226389,16.584437,4.005259,6686.41988062647,6574.47665386884,7211.93605972087,16551.2684699367,3997.24866717441
20.5,Fabricação de defensivos agrícolas e desinfestantes domissanitários,39,940,884,664,220,380,504,827.25,626.67,200.58,360.03,467.22,108848.486,88490.606,20357.88,91925.655,16922.831,10.141723,10.883896,7.822959,19.679957,2.791758,10121.4390589767,10862.1279019383,7807.3126394993,19640.5972579208,2786.17403101158
20.6,"Fabricação de sabões, detergentes, produtos de limpeza, cosméticos, produtos de perfumaria e de higiene pessoal",760,14348,13275,10300,2975,1022,12253,13109.03,10086.53,3022.5,988.12,12120.91,315006.505,244842.57,70163.935,62850.667,252155.838,1.852145,1.870989,1.789261,4.902598,1.603467,1848.44108338944,1867.24709549804,1785.68263663549,4892.79307402713,1600.25962762506
20.7,"Fabricação de tintas, vernizes, esmaltes, lacas e produtos afins",177,3345,3088,2635,453,338,2750,3230.86,2744.26,486.6,366.93,2863.93,108973.703,89426.14,19547.563,34387.213,74586.49,2.599739,2.511686,3.096326,7.22337,2.007354,2594.53908199722,2506.66257794591,3090.13294761137,7208.92331171949,2003.33887619191
20.9,Fabricação de produtos e preparados químicos diversos,165,2329,2092,1593,499,332,1760,2128.91,1625.92,502.99,343.35,1785.56,71885.822,55735.27,16150.552,29344.847,42540.975,2.602628,2.642147,2.47488,6.587504,1.836365,2597.4224440604,2636.86310614204,2469.93012554157,6574.32917744844,1832.69265233747
21,Fabricação de produtos farmoquímicos e farmacêuticos,61,,,,,,,,,,,,,,,,,,,,,,,,,,
21.1,Fabricação de produtos farmoquímicos,14,51,30,21,9,8,22,32.59,22.41,10.18,8.84,23.75,1002.004,646.478,355.526,513.321,488.683,2.369797,2.223504,2.691843,4.47572,1.585951,2365.05771001015,2219.05742628634,2686.45912044733,4466.76818656457,1582.77894736842
21.2,Fabricação de produtos farmacêuticos,47,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Fabricação de produtos de borracha e de material plástico,1654,39441,37180,30058,7122,2722,34458,37325.4,30261.22,7064.18,2794.82,34530.58,1099401.575,920286.362,179115.213,224110.733,875290.842,2.270273,2.344027,1.954325,6.180661,1.953775,2265.73196598233,2339.33921419509,1950.41651086075,6168.29962353431,1949.86776269703
22.1,Fabricação de produtos de borracha,335,8065,7590,6470,1120,885,6705,7638.21,6532.58,1105.63,905.8,6732.41,283643.889,243242.776,40401.113,85751.032,197892.857,2.862252,2.869996,2.816499,7.296812,2.265613,2856.5279944264,2864.2562003421,2810.86613340532,7282.21818367104,2261.08146436989
22.2,Fabricação de produtos de material plástico,1319,31376,29590,23588,6002,1837,27753,29687.19,23728.64,5958.55,1889.02,27798.17,815757.686,677043.586,138714.1,138359.701,677397.985,2.117962,2.199226,1.794346,5.645458,1.878252,2113.72619741947,2194.82767854179,1790.75704401497,5634.1668818101,1874.49523863234
23,Fabricação de produtos de minerais não-metálicos,5305,69429,62179,56345,5834,2950,59229,64193.28,58202.26,5991.02,3002.55,61190.73,1356167.957,1206594.477,149573.48,210093.094,1146074.863,1.628358,1.597893,1.924332,5.393214,1.443622,1625.1017563976,1594.69683426779,1920.48304089993,5382.42734701145,1440.73464797942
23.1,Fabricação de vidro e de produtos do vidro,234,3821,3530,2929,601,236,3294,3705.32,3060.19,645.13,254.13,3451.19,99024.012,81998.133,17025.879,27339.773,71684.239,2.059875,2.065293,2.034175,8.29211,1.600962,2055.7554252555,2061.16244164829,2030.10711019484,8275.52615408831,1597.75968021733
23.2,Fabricação de cimento,28,4291,4267,3566,701,1173,3094,4236.19,3569.02,667.17,1137.66,3098.53,205461.27,175867.476,29593.794,100942.482,104518.788,3.738356,3.798067,3.41893,6.838921,2.599949,3730.87918080234,3790.47116144359,3412.09240869298,6825.24331319753,2594.74872576053
