codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,pessoal_ocup_assal_total,pessoal_ocup_assal_masc,pessoal_ocup_assal_fem,pessoal_ocup_assal_sup,pessoal_ocup_assal_non_sup,pessoal_assalariado_medio_total,pessoal_assalariado_medio_masc,pessoal_assalariado_medio_fem,pessoal_assalariado_medio_sup,pessoal_assalariado_non_sup,salario_outras_rem_total,salario_outras_rem_masc,salario_outras_rem_fem,salario_outras_rem_sup,salario_outras_rem_non_sup,salario_min_mensal_total,salario_min_mensal_masc,salario_min_mensal_fem,salario_min_mensal_sup,salario_min_mensal_non_sup,salario_medio_mensal_total,salario_medio_mensal_masc,salario_medio_mensal_fem,salario_medio_mensal_sup,salario_medio_mensal_non_sup
68.2,Atividades imobiliárias por contrato ou comissão,4273,14466,8774,3953,4821,1447,7327,8559.31,3888.13,4671.18,1399.41,7159.9,198063.486,94179.676,103883.81,49372.323,148691.163,1.783577,1.866992,1.714144,2.719347,1.600679,1780.00945978482,1863.25829165652,1710.71598775733,2713.9087186743,1597.47786550521
M,"Atividades profissionais, científicas e técnicas",31236,127280,86719,42802,43917,30288,56431,85869.22,42958.4,42910.82,29886.16,55983.06,4788206.621,2809343.689,1978862.932,3207538.729,1580667.892,4.297951,5.040608,3.554471,8.272331,2.176257,4289.3552105256,5030.52629269963,3547.36230951684,8255.78623632529,2171.90410538748
69,"Atividades jurídicas, de contabilidade e de auditoria",13458,51903,34357,12093,22264,11873,22484,34092.25,12088.53,22003.72,11580.6,22511.65,860077.876,325190.743,534887.133,375146.181,484931.695,1.944501,2.073437,1.873666,2.496868,1.660349,1940.61220997102,2069.28985893748,1869.91854454261,2491.87421536548,1657.02816439146
69.1,Atividades jurídicas,6332,16410,8030,2232,5798,2619,5411,7623.95,2130.98,5492.97,2331.34,5292.61,222369.621,76062.301,146307.32,98117.878,124251.743,2.248131,2.751162,2.052981,3.243909,1.8095,2243.63426590396,2745.65985169698,2048.87505862388,3237.42100119377,1805.88148089797
69.2,"Atividades de contabilidade, consultoria e auditoria contábil e tributária",7126,35493,26327,9861,16466,9254,17073,26468.3,9957.55,16510.75,9249.26,17219.04,637708.255,249128.442,388579.813,277028.303,360679.952,1.857044,1.928399,1.814009,2.308571,1.614504,1853.32949807302,1924.54231288744,1810.38140884901,2303.9539878367,1611.27517517281
70,Atividades de sedes de empresas e de consultoria em gestão empresarial,3283,10679,6257,3152,3105,3609,2648,6054.1,3045.1,3009,3403.38,2650.72,449365.19,254006.94,195358.25,374532.753,74832.437,5.721053,6.429395,5.004212,8.482141,2.175966,5709.61052459046,6416.53652905172,4994.20328757318,8465.1763156717,2171.61424356111
70.1,Sedes de empresas e unidades administrativas locais,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.2,Atividades de consultoria em gestão empresarial,3283,10679,6257,3152,3105,3609,2648,6054.1,3045.1,3009,3403.38,2650.72,449365.19,254006.94,195358.25,374532.753,74832.437,5.721053,6.429395,5.004212,8.482141,2.175966,5709.61052459046,6416.53652905172,4994.20328757318,8465.1763156717,2171.61424356111
71,Serviços de arquitetura e engenharia; testes e análises técnicas,5873,20130,12252,9355,2897,2054,10198,11966.19,9166.97,2799.22,1939.55,10026.64,345543.784,265279.706,80264.078,103369.492,242174.292,2.225734,2.230511,2.210092,4.107878,1.861653,2221.2827204752,2226.04974498326,2205.67152497976,4099.66197551772,1857.9296446574
71.1,Serviços de arquitetura e engenharia e atividades técnicas relacionadas,5693,18705,11056,8614,2442,1792,9264,10854.21,8506.2,2348.01,1677.16,9177.05,314703.248,246779.857,67923.391,91775.848,222927.4,2.234751,2.236146,2.229695,4.217742,1.872348,2230.28135201421,2231.67406398591,2225.2359362904,4209.30657503435,1868.60282317973
71.2,Testes e análises técnicas,180,1425,1196,741,455,262,934,1111.98,660.77,451.21,262.39,849.59,30840.536,18499.849,12340.687,11593.644,19246.892,2.137721,2.157963,2.108078,3.40564,1.746133,2133.4456762504,2153.64696897908,2103.86209389113,3398.82910640943,1742.64074888611
72,Pesquisa e desenvolvimento científico,156,12122,11930,8074,3856,8255,3675,12688.25,8683.87,4004.38,8528.22,4160.03,2460659.733,1620450.962,840208.771,2075511.09,385148.643,14.947754,14.382974,16.172533,18.758269,7.136052,14917.8584850611,14354.2077437824,16140.1874754836,18720.7528922529,7121.78005742932
72.1,Pesquisa e desenvolvimento experimental em ciências físicas e naturais,102,11959,11833,8032,3801,8188,3645,12580.25,8634.66,3945.59,8456.99,4123.26,2453096.833,1617765.317,835331.516,2069101.691,383995.142,15.029742,14.440971,16.318229,18.857848,7.178127,14999.6825488059,14412.0887125928,16285.5923858126,18820.1320491642,7163.77037736011
72.2,Pesquisa e desenvolvimento experimental em ciências sociais e humanas,54,163,97,42,55,67,30,108,49.21,58.79,71.23,36.77,7562.9,2685.645,4877.255,6409.399,1153.501,5.397476,4.206504,6.394375,6.935543,2.417967,5386.68091168091,4198.09138230191,6381.58635037356,6921.67194030173,2413.1315244451
73,Publicidade e pesquisa de mercado,3814,12442,7935,4312,3623,1354,6581,7748.28,4256.27,3492.01,1401.63,6346.65,177341.994,97476.838,79865.156,54614.406,122727.588,1.764137,1.765218,1.76282,3.003308,1.490472,1760.60904434969,1761.68765320158,1759.29437156868,2997.30182276789,1487.49083253491
73.1,Publicidade,3719,12156,7762,4245,3517,1269,6493,7588.73,4186.41,3402.32,1331.38,6257.35,172041.617,95026.604,77015.013,51176.169,120865.448,1.747393,1.749563,1.744722,2.962728,1.488805,1743.89793001748,1746.06375611342,1741.23297315678,2956.80300486366,1485.82741157937
73.2,Pesquisas de mercado e de opinião pública,95,286,173,67,106,85,88,159.55,69.86,89.69,70.25,89.3,5300.377,2450.234,2850.143,3438.237,1862.14,2.560566,2.703367,2.449338,3.772381,1.607263,2555.44536316081,2697.96075667819,2444.43939380945,3764.83657267999,1604.04858299595
74,"Outras atividades profissionais, científicas e técnicas",3715,17044,12265,5138,7127,2887,9378,11651.31,5037.31,6614,2798.48,8852.83,464714.937,234110.854,230604.083,218337.988,246376.949,3.074241,3.582193,2.687379,6.013582,2.145083,3068.09301667828,3575.02858286848,2682.0041752925,6001.5543602791,2140.79260530249
74.1,Design e decoração de interiores,182,,,,,,,,,,,,,,,,,,,,,,,,,,
74.2,Atividades fotográficas e similares,425,,,,,,,,,,,,,,,,,,,,,,,,,,
