codigo_cnae,atividade,numero_empresas,pessoal_ocup_total,quatro_maiores_empresas_percent,oito_maiores_empresas_percent,doze_maiores_empresas_percent
58.2,"Edição integrada à impressão de livros, jornais, revistas e outras publicações",4982,52379,22.44,29.62,34.26
59,"Atividades cinematográficas, produção de vídeos e de programas de televisão; gravação de som e edição de música",17325,53131,14.96,17.77,19.85
59.1,"Atividades cinematográficas, produção de vídeos e de programas de televisão",15295,48368,16.44,19.52,21.8
59.2,Atividades de gravação de som e de edição de música,2030,4763,5.37,9.03,11.21
60,Atividades de rádio e de televisão,4575,84209,24.07,29.64,32.34
60.1,Atividades de rádio,3572,31996,2.57,4.29,5.61
60.2,Atividades de televisão,1003,52213,38.82,47.8,52.16
61,Telecomunicações,15698,250896,30.38,35.14,38.64
61.1,Telecomunicações por fio,7204,74511,20.04,24.96,27.33
61.2,Telecomunicações sem fio,397,78186,93.43,97.03,97.37
61.3,Telecomunicações por satélite,143,2130,40.09,53.85,62.49
61.4,Operadoras de televisão por assinatura,224,5259,47.88,56.11,62.43
61.9,Outras atividades de telecomunicações,7730,90810,7.9,11.73,14.18
62,Atividades dos serviços de tecnologia da informação,78783,542367,7.26,10.99,13.49
62.0,Atividades dos serviços de tecnologia da informação,78783,542367,7.26,10.99,13.49
63,Atividades de prestação de serviços de informação,27862,157078,16.16,22.43,25.51
63.1,"Tratamento de dados, hospedagem na internet e outras atividades relacionadas",21669,138118,18.38,25.51,29.01
63.9,Outras atividades de prestação de serviços de informação,6193,18960,7.43,10.72,12.45
K,"Atividades financeiras, de seguros e serviços relacionados",132556,1275157,32.85,39.56,41.64
64,Atividades de serviços financeiros,83208,825000,50.77,59.69,61.22
64.1,Banco central,,,,,
64.2,Intermediação monetária - depósitos à vista,1162,625023,67.01,78.78,80.72
64.3,Intermediação não-monetária - outros instrumentos de captação,369,20611,36.04,48.99,57.06
64.4,Arrendamento mercantil,32,318,62.58,87.11,92.77
64.5,Sociedades de capitalização,24,1333,85,94.6,98.35
64.6,Atividades de sociedades de participação,63307,145236,3.11,4.98,6.47
64.7,Fundos de investimento,10988,1547,2.97,5.56,8.14
64.9,Atividades de serviços financeiros não especificadas anteriormente,7326,30932,18.59,25.11,28.07
65,"Seguros, resseguros, previdência complementar e planos de saúde",1651,236573,16.29,23.29,28.18
65.1,Seguros de vida e não-vida,479,46787,36.84,53.04,63.9
65.2,Seguros-saúde,9,5563,94.79,100,100
65.3,Resseguros,19,689,76.78,92.6,98.11
65.4,Previdência complementar,14,1872,94.18,99.57,99.95
65.5,Planos de saúde,1130,181662,19.77,26.78,31.69
66,"Atividades auxiliares dos serviços financeiros, seguros, previdência complementar e planos de saúde",47697,213584,5.26,8.18,10.73
66.1,Atividades auxiliares dos serviços financeiros,9040,70917,15.86,24.3,29.14
66.2,"Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde",37145,134009,4.24,7.45,9.2
66.3,Atividades de administração de fundos por contrato ou comissão,1512,8658,10.46,15.38,18.69
L,Atividades imobiliárias,131126,372070,1.18,1.84,2.35
68,Atividades imobiliárias,131126,372070,1.18,1.84,2.35
68.1,Atividades imobiliárias de imóveis próprios,78929,186273,0.94,1.5,1.9
68.2,Atividades imobiliárias por contrato ou comissão,52197,185797,2.36,3.63,4.55
M,"Atividades profissionais, científicas e técnicas",377596,1546818,1.66,2.66,3.47
69,"Atividades jurídicas, de contabilidade e de auditoria",130224,582558,1.69,2.67,3.37
69.1,Atividades jurídicas,59560,186320,2.99,4.51,5.52
69.2,"Atividades de contabilidade, consultoria e auditoria contábil e tributária",70664,396238,2.46,3.49,4.04
70,Atividades de sedes de empresas e de consultoria em gestão empresarial,56227,174857,5.4,8.45,10.61
70.1,Sedes de empresas e unidades administrativas locais,,,,,
70.2,Atividades de consultoria em gestão empresarial,56227,174857,5.4,8.45,10.61
71,Serviços de arquitetura e engenharia; testes e análises técnicas,84775,376857,4.99,7.76,9.59
71.1,Serviços de arquitetura e engenharia e atividades técnicas relacionadas,81791,335858,4.69,7.34,9.06
71.2,Testes e análises técnicas,2984,40999,26.17,32.12,35.55
72,Pesquisa e desenvolvimento científico,1820,25154,57.17,66.66,71.73
72.1,Pesquisa e desenvolvimento experimental em ciências físicas e naturais,1351,24092,59.69,69.6,74.89
72.2,Pesquisa e desenvolvimento experimental em ciências sociais e humanas,469,1062,8.66,14.03,18.17
73,Publicidade e pesquisa de mercado,48823,183722,5.57,7.93,9.59
73.1,Publicidade,47360,174067,5.73,7.7,9.21
73.2,Pesquisas de mercado e de opinião pública,1463,9655,39.13,50.15,54.56
74,"Outras atividades profissionais, científicas e técnicas",46175,172369,8.51,12.68,15.95
74.1,Design e decoração de interiores,4444,9035,7.87,9.37,10.53
74.2,Atividades fotográficas e similares,7297,24531,10.71,13.13,14.82
74.9,"Atividades profissionais, científicas e técnicas não especificadas anteriormente",34434,138803,10.57,15.53,19.3
75,Atividades veterinárias,9552,31301,1.91,2.78,3.46
75.0,Atividades veterinárias,9552,31301,1.91,2.78,3.46
N,Atividades administrativas e serviços complementares,319357,4310975,4.04,6.2,7.91
77,Aluguéis não-imobiliários e gestão de ativos intangíveis não-financeiros,45282,299938,6.32,8.02,9.26
77.1,Locação de meios de transporte sem condutor,11868,82871,18.54,23.31,26.65
77.2,Aluguel de objetos pessoais e domésticos,7614,39947,15.17,16.32,17.34
77.3,Aluguel de máquinas e equipamentos sem operador,22477,161510,2.75,4.51,6.05
77.4,Gestão de ativos intangíveis não-financeiros,3323,15610,14.27,17.85,20.57
78,"Seleção, agenciamento e locação de mão-de-obra",6423,658331,11.31,16.21,20.23
78.1,Seleção e agenciamento de mão-de-obra,2403,100761,18.66,28.42,35.28
78.2,Locação de mão-de-obra temporária,3095,421656,15.42,21.38,26.33
78.3,Fornecimento e gestão de recursos humanos para terceiros,925,135914,30.67,44.24,52.71
79,"Agências de viagens, operadores turísticos e serviços de reservas",19934,99451,4.07,6.23,7.97
79.1,Agências de viagens e operadores turísticos,18421,91547,4.42,6.77,8.65
79.9,Serviços de reservas e outros serviços de turismo não especificados anteriormente,1513,7904,11.92,18.75,23.71
80,"Atividades de vigilância, segurança e investigação",11132,665090,9.43,14.97,18.89
80.1,"Atividades de vigilância, segurança privada e transporte de valores",5368,578203,10.85,17.21,21.72
80.2,Atividades de monitoramento de sistemas de segurança,5647,86546,12.33,17.22,21.01
80.3,Atividades de investigação particular,117,341,36.66,46.33,53.67
81,Serviços para edifícios e atividades paisagísticas,30962,1136877,7.04,10.72,13.49
81.1,Serviços combinados para apoio a edifícios,9869,251135,7.56,10.91,13.16
81.2,Atividades de limpeza,16488,851620,9.4,14.31,18.01
81.3,Atividades paisagísticas,4605,34122,6.35,9.87,12.75
82,"Serviços de escritório, de apoio administrativo e outros serviços prestados às empresas",205624,1451288,11.23,15.81,18.56
82.1,Serviços de escritório e apoio administrativo,115146,477354,3.06,4.4,5.45
82.2,Atividades de teleatendimento,2539,433432,37.59,52.95,62.16
82.3,"Atividades de organização de eventos, exceto culturais e esportivos",22248,80238,5.29,7.05,8.23
82.9,Outras atividades de serviços prestados principalmente às empresas,65691,460264,3.06,5.12,6.85
R,"Artes, cultura, esporte e recreação",57287,243148,5.01,6.26,7.05
90,"Atividades artísticas, criativas e de espetáculos",14469,33632,3.13,4.65,5.45
90.0,"Atividades artísticas, criativas e de espetáculos",14469,33632,3.13,4.65,5.45
91,Atividades ligadas ao patrimônio cultural e ambiental,358,2710,44.54,52.55,57.97
91.0,Atividades ligadas ao patrimônio cultural e ambiental,358,2710,44.54,52.55,57.97
92,Atividades de exploração de jogos de azar e apostas,54,93,27.96,40.86,50.54
92.0,Atividades de exploração de jogos de azar e apostas,54,93,27.96,40.86,50.54
93,Atividades esportivas e de recreação e lazer,42406,206713,5.89,7.36,8.29
93.1,Atividades esportivas,35939,165574,6.54,7.64,8.44
93.2,Atividades de recreação e lazer,6467,41139,10.67,14.76,17.48
S,Outras atividades de serviços,93118,428144,2.83,4.11,5.02
94,Atividades de organizações associativas,907,4502,12.73,18.95,23.97
94.1,"Atividades de organizações associativas patronais, empresariais e profissionais",251,1591,24.76,37.02,42.68
94.2,Atividades de organizações sindicais,1,,,,
94.3,Atividades de associações de defesa de direitos sociais,448,1735,16.95,23.05,27.09
94.9,Atividades de organizações associativas não especificadas anteriormente,207,,31.13,42.28,47.94
95,Reparação e manutenção de equipamentos de informática e comunicação e de objetos pessoais e domésticos,37473,153825,5.87,7.61,8.78
95.1,Reparação e manutenção de equipamentos de informática e comunicação,19072,86217,10.48,13.58,15.67
95.2,Reparação e manutenção de objetos e equipamentos pessoais e domésticos,18401,67608,1.15,1.93,2.49
96,Outras atividades de serviços pessoais,54738,269817,3.16,4.61,5.45
