municipios_uf,posicao_municipio,val_add_industria,partipacao_percentual,percentual_acumulado
Suzano (SP),64º,4079826.1584045966,0.2944013842076221,44.81777481891506
Itabira (MG),65º,4050040.628680173,0.2922520521430283,45.11002687105809
Limeira (SP),66º,4032422.9946584366,0.29098075879838964,45.40100762985648
Blumenau (SC),67º,3996026.6556369914,0.2883543889061505,45.68936201876263
Sumaré (SP),68º,3965968.9320734404,0.2861854152588273,45.97554743402146
Campo Grande (MS),69º,3959413.9951247144,0.2857124091952912,46.26125984321675
Triunfo (RS),70º,3821517.7997209425,0.275761781588229,46.53702162480498
Presidente Kennedy (ES),71º,3804766.481278341,0.27455300181543274,46.81157462662041
Macaé (RJ),72º,3796869.4782620254,0.2739831518931988,47.08555777851361
Ribeirão Preto (SP),73º,3713054.91541355,0.26793506985212545,47.35349284836573
Vitória do Xingu (PA),74º,3711545.9331905893,0.26782618127748137,47.62131902964322
Jaraguá do Sul (SC),75º,3660026.2146127,0.2641085041328138,47.88542753377603
São João da Barra (RJ),76º,3626927.0216436633,0.26172005721181796,48.14714759098785
Osasco (SP),77º,3570946.0549227465,0.25768045516701826,48.40482804615487
Jaguariúna (SP),78º,3548311.409728453,0.2560471329082938,48.66087517906316
Marataízes (ES),79º,3486987.0422170344,0.251621949584287,48.91249712864745
Rio Claro (SP),80º,3476165.632755304,0.25084107368396275,49.16333820233142
Belém (PA),81º,3466825.436985825,0.2501670825734248,49.41350528490484
Mogi das Cruzes (SP),82º,3438105.7828767346,0.24809466438809047,49.661599949292935
Iracemápolis (SP),83º,3397860.2562483028,0.24519053605331645,49.90679048534625
Juiz de Fora (MG),84º,3391865.229812712,0.24475793328729828,50.151548418633546
Rio das Ostras (RJ),85º,3383994.8477882757,0.2441900043432025,50.39573842297675
Londrina (PR),86º,3274715.6486365423,0.2363043871021112,50.63204281007886
Petrópolis (RJ),87º,3222869.438381807,0.23256315022772384,50.864605960306584
Maringá (PR),88º,3201343.828297162,0.23100985624930803,51.09561581655589
São Carlos (SP),89º,3176273.9960984103,0.22920081022268726,51.32481662677858
João Pessoa (PB),90º,3172863.6005777097,0.22895471513848342,51.55377134191706
Sete Lagoas (MG),91º,3158203.812528966,0.2278968607774956,51.78166820269456
Angra dos Reis (RJ),92º,3140849.7828508737,0.22664458919521613,52.00831279188978
Itapemirim (ES),93º,3081617.0012850403,0.22237033529164582,52.23068312718142
Americana (SP),94º,3059810.025085076,0.22079673785651327,52.45147986503793
Cuiabá (MT),95º,3015316.877740863,0.21758610003585369,52.669065965073784
Cotia (SP),96º,2991455.0322223264,0.215864222662247,52.88493018773603
Pindamonhangaba (SP),97º,2928001.5644446006,0.21128540287404274,53.09621559061007
Teresina (PI),98º,2897917.854908445,0.2091145540717478,53.30533014468182
Maceió (AL),99º,2868033.6953135566,0.20695810484841695,53.512288249530236
Aparecida de Goiânia (GO),100º,2842268.9878149787,0.2050989164279348,53.71738716595817
