;Tabela 5 - Municípios, total e com cadastro imobiliário, com cobrança de IPTU, Planta Genérica de Valores e cadastro de ISSQN, segundo as Grandes Regiões e as classes de tamanho da população dos municípios - 2019;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Grandes Regiões e classes de tamanho da população dos municípios;Municípios;;;;;;;;;;;;;;;;
;;Total; Cadastro imobiliário;;;;;;;;;;Com cobrança de IPTU; Planta Genérica de Valores;;; Cadastro ISSQN;
;;;Total;Informatizado;;Com acesso público;Periodicidade da Atualização;;;Número de imóveis cadastrados;;;;Total;Informatizada;Atualizada nos últimos 10 anos;Total;Informatizado
;;;;Total;Georreferen-ciado;;Anual ou menor que 1 ano;Maior que 1 ano;Sob demanda do proprietário;Total;Residencial;Não residencial;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
regiao;faixas;total_municipios;total_cadastro_imob;total_informatizado;total_georef;total_acesso_pub;total_atualizado_menor_um_ano;total_atualizado_maior_um_ano;total_atualizado_sob_demanda;total_imoveis;total_residencial;total_nao_residencial;total_com_iptu;planta_generica_total;planta_generica_informatizada;planta_generica_atualizada_menos_que_dez_dias;total_cadastro_issqn;total_informatizado
Sul;De 50 001 a 100 000;   58 ;   58 ;   51 ;   31 ;   32 ;   9 ;   26 ;   41 ; 2 100 222 ; 1 341 031 ;  585 762 ;   58 ;   55 ;   40 ;   28 ;   58 ;   58 
Sul;De 100 001 a 500 000;   47 ;   47 ;   45 ;   26 ;   24 ;   16 ;   13 ;   31 ; 4 222 573 ; 2 992 285 ;  958 010 ;   47 ;   46 ;   37 ;   23 ;   47 ;   47 
Sul;Mais de 500 000;   6 ;   6 ;   6 ;   5 ;   3 ;   2 ;   2 ;   6 ; 2 552 466 ; 1 984 078 ;  568 388 ;   6 ;   6 ;   6 ;   4 ;   6 ;   5 
Centro-Oeste;Até 5 000;   135 ;   131 ;   110 ;   15 ;   47 ;   30 ;   48 ;   66 ;  195 277 ;  110 893 ;  38 316 ;   129 ;   110 ;   65 ;   69 ;   132 ;   116 
Centro-Oeste;De 5 001 a 10 000;   109 ;   106 ;   95 ;   20 ;   53 ;   29 ;   38 ;   50 ;  365 986 ;  177 181 ;  94 258 ;   108 ;   98 ;   73 ;   69 ;   109 ;   102 
Centro-Oeste;De 10 001 a 20 000;   93 ;   93 ;   81 ;   22 ;   40 ;   19 ;   39 ;   46 ;  528 192 ;  284 292 ;  157 018 ;   93 ;   87 ;   75 ;   75 ;   92 ;   89 
Centro-Oeste;De 20 001 a 50 000;   86 ;   86 ;   77 ;   33 ;   51 ;   20 ;   39 ;   37 ; 1 114 570 ;  583 113 ;  316 983 ;   86 ;   85 ;   68 ;   75 ;   86 ;   85 
Centro-Oeste;De 50 001 a 100 000;   20 ;   20 ;   20 ;   8 ;   14 ;   5 ;   6 ;   14 ;  930 247 ;  397 854 ;  218 710 ;   20 ;   20 ;   16 ;   18 ;   20 ;   20 
Centro-Oeste;De 100 001 a 500 000;   19 ;   19 ;   18 ;   12 ;   13 ;   6 ;   6 ;   14 ; 1 663 775 ;  669 410 ;  376 953 ;   19 ;   18 ;   18 ;   17 ;   19 ;   19 
Centro-Oeste;Mais de 500 000;   5 ;   5 ;   5 ;   5 ;   4 ;   3 ;   1 ;   3 ; 3 102 438 ; 1 620 992 ; 1 481 446 ;   5 ;   5 ;   5 ;   5 ;   5 ;   5 
